阿壩當歸	aa[ek ba[tb dh[xx gv[ux
攤布器	tj[fy bu[uj qi[kq
探春	tj[fg iy[so
探春花	tj[fg iy[so hx[cr
炭腐病	tj[uu fu[gk bk[bh
坦幹伊喀湖	tj[to gj[hu yi[rx ka[kg hu[dg
坦幹依喀湖	tj[to gj[hu yi[ry ka[kg hu[dg
壇花蘭屬	tj[te hx[cr lj[bs uu[up
曇花屬	tj[oe hx[cr uu[up
譚環	tj[yx hr[wb
檀慄屬	tj[aw li[xa uu[up
檀梨屬	tj[aw li[ha uu[up
碳氯靈	tj[eu lv[qx lk[xh
檀屬	tj[aw uu[up
碳素循環	tj[eu su[fy xy[rp hr[wb
碳酸定量器	tj[eu sr[ys dk[gp ll[oh qi[kq
碳酸鹽硬度	tj[eu sr[ys yj[tm yk[eh du[gn
炭團菌	tj[uu tr[wc jy[cw
檀香科	tj[aw xl[ho ke[hd
檀香目	tj[aw xl[ho mu[we
糖茶藨	th[mg ia[cr bn[[
塘菖菜	th[tg ih[co cd[ca
唐菖蒲	th[gx ih[co pu[cd
唐昌蒲帶薊馬	th[gx ih[oo pu[cd dd[cj ji[cy ma[vv
唐菖蒲菌核病	th[gx ih[co pu[cd jy[cw he[aw bk[bh
唐菖蒲枯萎病	th[gx ih[co pu[cd ku[ag ww[ch bk[bh
唐菖蒲青黴病	th[gx ih[co pu[cd qk[fo mw[yr bk[bh
唐菖蒲屬	th[gx ih[co pu[cd uu[up
唐棣屬	th[gx di[ax uu[up
糖粉蝴蝶	th[mg ff[mf hu[ig dp[in
糖粉蚧	th[mg ff[mf jp[ir
糖甘配基	th[mg gj[nh pw[yk ji[qt
唐古拉婆婆納	th[gx gu[uk la[fl po[dn po[dn na[sk
唐古特忍冬	th[gx gu[uk te[nt rf[dx ds[wd
唐古特瑞香	th[gx gu[uk te[nt rv[wu xl[ho
唐檜根小蠹	th[gx gv[ar gf[ag xn[ub du[hi
唐檜葉蜂	th[gx gv[ar ye[ku fg[iw
糖芥	th[mg jp[cr
糖芥屬	th[mg jp[cr uu[up
糖蜜草屬	th[mg mi[gi cc[co uu[up
糖蜜誘殺	th[mg mi[gi yz[yh ua[ia
唐明義	th[gx mk[oo yi[di
唐松草	th[gx ss[ab cc[co
唐松草屬	th[gx ss[ab cc[co uu[up
唐松葉弓翅芹	th[gx ss[ab ye[ku gs[kv ii[ux qb[cj
糖依存菌	th[mg yi[ry cy[uz jy[cw
糖原酶	th[mg yr[ib mw[yr
唐竹	th[gx vu[rr
唐竹屬	th[gx vu[rr uu[up
桃白條紫斑螟	tc[av bd[po tn[wa zi[vy bj[ww mk[ig
桃白紋羽病	tc[av bd[po wf[sw yu[xx bk[bh
桃白小卷蛾	tc[av bd[po xn[ub jr[be ee[ip
桃斑蛾	tc[av bj[ww ee[ip
桃側孢黴病	tc[av ce[rb bc[zb mw[yr bk[bh
桃茶色蝽	tc[av ia[cr se[db iy[is
桃長翅卷蛾	tc[av ih[ph ii[ux jr[be ee[ip
桃長足蚜	tc[av ih[ph zu[kv ya[iy
桃赤黴病	tc[av ii[ty mw[yr bk[bh
陶瓷珠	tc[eb ci[dw vu[wp
桃短尾蚜	tc[av dr[ud ww[um ya[iy
桃兒七屬	tc[av er[pv qi[hv uu[up
桃耳突病毒	tc[av er[hu tu[xq bk[bh du[fm
桃粉蝨	tc[av ff[mf ui[vp
桃根腐線蟲病	tc[av gf[ag fu[gk xm[sj is[ks bk[bh
桃根結線蟲病	tc[av gf[ag jp[su xm[sj is[ks bk[bh
桃根黴病	tc[av gf[ag mw[yr bk[bh
桃褐腐菌核病	tc[av he[yo fu[gk jy[cw he[aw bk[bh
桃褐膏藥病	tc[av he[yo gc[wk yc[cs bk[bh
桃褐卷蛾	tc[av he[yo jr[be ee[ip
桃黑麴黴病	tc[av hw[sd qu[ou mw[yr bk[bh
桃花心木屬	tc[av hx[cr xb[dv mu[ub uu[up
桃花夜蛾	tc[av hx[cr ye[wr ee[ip
桃黃褐夜蛾	tc[av hl[gy he[yo ye[wr ee[ip
桃黃花葉病毒	tc[av hl[gy hx[cr ye[ku bk[bh du[fm
桃黃瘤蚜	tc[av hl[gy lq[bp ya[iy
桃黃葉病毒	tc[av hl[gy ye[ku bk[bh du[fm
桃灰膏藥病	tc[av hv[uh gc[wk yc[cs bk[bh
桃灰黴病	tc[av hv[uh mw[yr bk[bh
桃假蜜環菌病	tc[av jx[rk mi[gi hr[wb jy[cw bk[bh
桃劍紋夜蛾	tc[av jm[rd wf[sw ye[wr ee[ip
桃嬌	tc[av jn[np
桃金娘	tc[av jb[rw nl[nl
桃金娘科	tc[av jb[rw nl[nl ke[hd
桃金娘目	tc[av jb[rw nl[nl mu[we
桃金娘屬	tc[av jb[rw nl[nl uu[up
桃舉肢蛾	tc[av ju[xf vi[ou ee[ip
桃菌核病	tc[av jy[cw he[aw bk[bh
桃臘蚧	tc[av la[og jp[ir
滔拉舟形藻	tc[da la[fl vz[pk xk[kp zc[cd
桃欖屬	tc[av lj[au uu[up
桃琳	tc[av lb[wa
絛柳	tc[sw lq[ap
桃瘤頭蚜	tc[av lq[bp tz[dd ya[iy
桃螺旋線蟲病	tc[av lo[it xr[fr xm[sj is[ks bk[bh
桃綠尺蛾	tc[av lv[sx ii[ud ee[ip
桃麥蛾	tc[av md[fw ee[ip
桃蜜環菌病	tc[av mi[gi hr[wb jy[cw bk[bh
洮南燈心草	tc[dv nj[uk dg[hd xb[dv cc[co
桃潛蛾	tc[av qm[de ee[ip
桃秋尺蠖	tc[av qq[hh ii[ud ho[ic
桃球蚧	tc[av qq[wh jp[ir
桃腮素	tc[av sd[ot su[fy
桃色忍冬	tc[av se[db rf[dx ds[wd
桃實象甲	tc[av ui[gd xl[dk jx[ou
桃天蛾	tc[av tm[hd ee[ip
桃細蛾	tc[av xi[st ee[ip
桃葉斑蛾	tc[av ye[ku bj[ww ee[ip
套葉蘭屬	tc[di ye[ku lj[bs uu[up
桃葉蓼	tc[av ye[ku ln[cx
桃葉青莢葉	tc[av ye[ku qk[fo jx[cj ye[ku
桃葉忍冬	tc[av ye[ku rf[dx ds[wd
桃葉珊瑚	tc[av ye[ku uj[wk hu[wg
桃葉珊瑚屬	tc[av ye[ku uj[wk hu[wg uu[up
桃葉石楠	tc[av ye[ku ui[ek nj[au
桃葉鴉蔥	tc[av ye[ku ya[yn cs[cb
桃疫病	tc[av yi[bj bk[bh
桃圓尾蚜	tc[av yr[wk ww[um ya[iy
桃粘葉蜂	tc[av vj[mb ye[ku fg[iw
桃枝竹	tc[av vi[au vu[rr
桃螽斯	tc[av vs[wi si[qj
洮州當歸	tc[dv vz[dp dh[xx gv[ux
桃蛀果蛾	tc[av vu[id go[oa ee[ip
桃蛀野螟	tc[av vu[id ye[oy mk[ig
桃紫條吉丁	tc[av zi[vy tn[wa ji[uk dk[hu
桃紫紋羽病	tc[av zi[vy wf[sw yu[xx bk[bh
桃縱卷瘤蚜	tc[av zs[sr jr[be lq[bp ya[iy
特定部位重組	te[nt dk[gp bu[le ww[rl is[ph zu[sq
特定毒藥	te[nt dk[gp du[fm yc[cs
特定檢疫對象	te[nt dk[gp jm[ar yi[bj dv[yc xl[dk
特里布紋藻	te[nt li[ot bu[uj wf[sw zc[cd
特里羽紋藻	te[nt li[ot yu[xx wf[sw zc[cd
特殊輻襉藻	te[nt uu[hp fu[ih jm[ym zc[cd
特殊雙壁藻	te[nt uu[hp ul[yy bi[ut zc[cd
特殊轉導	te[nt uu[hp vr[ie dc[kc
特異抵抗性	te[nt yi[kc di[fu kh[fw xk[xp
特准燻蒸倉庫	te[nt vy[dv xy[pd vg[cl ch[re ku[gi
藤衝慈姑	tg[co is[dv ci[bx gu[ng
騰衝獨活	tg[ob is[dv du[qi ho[dq
藤春屬	tg[co iy[so uu[up
藤壺鏈蚧	tg[co hu[uy lm[ji jp[ir
藤槐屬	tg[co hk[ag uu[up
藤黃科	tg[co hl[gy ke[hd
藤黃樹	tg[co hl[gy uu[ay
藤黃檀	tg[co hl[gy tj[aw
藤金合歡	tg[co jb[rw he[rh hr[yd
藤梨竹屬	tg[co li[ha vu[rr uu[up
藤露兜屬	tg[co lu[yz dz[pe uu[up
藤蘿草	tg[co lo[cs cc[co
藤麻屬	tg[co ma[ga uu[up
藤牡丹屬	tg[co mu[nt dj[kw uu[up
藤葡蟠	tg[co pu[cb pj[ip
藤漆屬	tg[co qi[da uu[up
藤山柳屬	tg[co uj[uk lq[ap uu[up
藤五加	tg[co wu[hu jx[lk
藤芋屬	tg[co yu[ce uu[up
藤棗屬	tg[co zc[cd uu[up
藤紫珠	tg[co zi[vy vu[wp
涕巴	ti[db ba[ku
涕必靈	ti[db bi[xp lk[xh
提純病毒	ti[fo iy[st bk[bh du[fm
蹄蓋蕨科	ti[zl gd[bm jt[ci ke[hd
嚏根草	ti[ku gf[ag cc[co
涕硫鈉	ti[db lq[ew na[jk
梯牧草	ti[ab mu[nw cc[co
梯牧草白粉病	ti[ab mu[nw cc[co bd[po ff[mf bk[bh
梯牧草赤黴病	ti[ab mu[nw cc[co ii[ty mw[yr bk[bh
梯牧草腐黴病	ti[ab mu[nw cc[co fu[gk mw[yr bk[bh
梯牧草麥角病	ti[ab mu[nw cc[co md[fw jn[do bk[bh
梯牧草盲蝽	ti[ab mu[nw cc[co mh[wm iy[is
梯牧草屬	ti[ab mu[nw cc[co uu[up
梯牧草瘟病	ti[ab mu[nw cc[co wf[bo bk[bh
梯木屬	ti[ab mu[ub uu[up
體內穩衡	ti[ra nw[kr wf[hd hg[rd
體外存活期	ti[ra wd[xb cy[uz ho[dq qi[qo
體外抗原	ti[ra wd[xb kh[fw yr[ib
體外卵發育	ti[ra wd[xb lr[pe fa[vy yu[wo
體外生	ti[ra wd[xb ug[pf
梯紋菱形藻	ti[ab wf[sw lk[ct xk[kp zc[cd
體細胞結合	ti[ra xi[st bc[ob jp[su he[rh
梯楔舟形藻	ti[ab xp[af vz[pk xk[kp zc[cd
蹄葉橐吾	ti[zl ye[ku to[he wu[wk
田鱉甲	tm[wu bp[by jx[ou
甜菜	tm[qg cd[ca
甜菜白帶野螟	tm[qg cd[ca bd[po dd[cj ye[oy mk[ig
甜菜白粉病	tm[qg cd[ca bd[po ff[mf bk[bh
甜菜白絹病	tm[qg cd[ca bd[po jr[sk bk[bh
甜菜瘡痂病	tm[qg cd[ca il[br jx[bl bk[bh
甜菜粗皮病	tm[qg cd[ca cu[mq pi[vp bk[bh
甜菜大龜甲	tm[qg cd[ca da[hr gv[do jx[ou
甜菜大蚊	tm[qg cd[ca da[hr wf[iw
甜菜根腐疫病	tm[qg cd[ca gf[ag fu[gk yi[bj bk[bh
甜菜龜甲	tm[qg cd[ca gv[do jx[ou
甜菜花葉病毒	tm[qg cd[ca hx[cr ye[ku bk[bh du[fm
甜菜黃化病毒	tm[qg cd[ca hl[gy hx[rq bk[bh du[fm
甜菜灰黴病	tm[qg cd[ca hv[uh mw[yr bk[bh
甜菜笄黴病	tm[qg cd[ca ji[vk mw[yr bk[bh
甜菜菌核病	tm[qg cd[ca jy[cw he[aw bk[bh
甜菜盲蝽	tm[qg cd[ca mh[wm iy[is
甜菜苗腐病	tm[qg cd[ca mn[ct fu[gk bk[bh
甜菜潛隱病毒	tm[qg cd[ca qm[de yb[ed bk[bh du[fm
甜菜曲頂病毒	tm[qg cd[ca qu[ou dk[dy bk[bh du[fm
甜菜屬	tm[qg cd[ca uu[up
甜菜霜黴病	tm[qg cd[ca ul[ya mw[yr bk[bh
甜菜絲核菌病	tm[qg cd[ca si[sh he[aw jy[cw bk[bh
甜菜跳甲	tm[qg cd[ca tn[zv jx[ou
甜菜筒喙象	tm[qg cd[ca ts[vk hv[kv xl[dk
甜菜銅跳甲	tm[qg cd[ca ts[jk tn[zv jx[ou
甜菜夜蛾	tm[qg cd[ca ye[wr ee[ip
甜菜紫紋羽病	tm[qg cd[ca zi[vy wf[sw yu[xx bk[bh
天草褐小蠹	tm[hd cc[co he[yo xn[ub du[hi
甜橙	tm[qg ig[ad
天池碎米薺	tm[hd ii[dy sv[ew mi[ba ji[cw
天蟲文星	tm[hd is[ks wf[wi xk[op
田春黃菊	tm[wu iy[so hl[gy ju[cb
田蔥科	tm[wu cs[cb ke[hd
田蔥屬	tm[wu cs[cb uu[up
天冬	tm[hd ds[wd
天冬草	tm[hd ds[wd cc[co
天鵝絨天蛾	tm[hd ee[pn rs[sg tm[hd ee[ip
田繁縷屬	tm[wu fj[ry lv[sm uu[up
天府牡丹	tm[hd fu[gr mu[nt dj[kw
田葛縷子	tm[wu ge[co lv[sm zi[lh
甜瓜	tm[qg gx[ps
甜瓜白絹病	tm[qg gx[ps bd[po jr[sk bk[bh
甜瓜腐黴病	tm[qg gx[ps fu[gk mw[yr bk[bh
甜瓜根黴病	tm[qg gx[ps gf[ag mw[yr bk[bh
甜瓜黃萎病	tm[qg gx[ps hl[gy ww[ch bk[bh
甜瓜菌核病	tm[qg gx[ps jy[cw he[aw bk[bh
甜瓜枯萎病	tm[qg gx[ps ku[ag ww[ch bk[bh
甜瓜脈黃病毒	tm[qg gx[ps md[od hl[gy bk[bh du[fm
甜瓜屬	tm[qg gx[ps uu[up
甜瓜絲核菌病	tm[qg gx[ps si[sh he[aw jy[cw bk[bh
甜瓜汙點病	tm[qg gx[ps wu[dh dm[bd bk[bh
甜瓜疫病	tm[qg gx[ps yi[bj bk[bh
甜果蟎	tm[qg go[oa mj[ic
甜果藤屬	tm[qg go[oa tg[co uu[up
田蒿	tm[wu hc[cw
天河液肥	tm[hd he[dk ye[dw fw[ob
天胡荽	tm[hd hu[go sv[ca
天胡荽屬	tm[hd hu[go sv[ca uu[up
田灰蛞蝓	tm[wu hv[uh ko[iq yu[ir
田薊刺菜	tm[wu ji[cy ci[cd cd[ca
田基黃屬	tm[wu ji[qt hl[gy uu[up
田基麻科	tm[wu ji[qt ma[ga ke[hd
田基麻屬	tm[wu ji[qt ma[ga uu[up
田間檢查	tm[wu jm[mo jm[ar ia[ao
田間抗性	tm[wu jm[mo kh[fw xk[xp
田間衛生	tm[wu jm[mo ww[eh ug[pf
田間診斷	tm[wu jm[mo vf[yr dr[mj
天芥菜屬	tm[hd jp[cr cd[ca uu[up
田菁	tm[wu jk[cf
田菁屬	tm[wu jk[cf uu[up
甜菊屬	tm[qg ju[cb uu[up
天葵	tm[hd kv[cd
天葵屬	tm[hd kv[cd uu[up
天藍變豆菜	tm[hd lj[cu bm[yy dz[hk cd[ca
天藍韭	tm[hd lj[cu jq[fh
天藍苜蓿	tm[hd lj[cu mu[cm xu[cg
天藍繡球	tm[hd lj[cu xq[sh qq[wh
天藍繡球屬	tm[hd lj[cu xq[sh qq[wh uu[up
天蓼	tm[hd ln[cx
天料木科	tm[hd ln[md mu[ub ke[hd
田獵蝽	tm[wu lp[qg iy[is
天櫨	tm[hd lu[ab
天櫨屬	tm[hd lu[ab uu[up
天輪柱屬	tm[hd ly[ir vu[ad uu[up
天麻	tm[hd ma[ga
甜麻	tm[qg ma[ga
田麻	tm[wu ma[ga
天麻屬	tm[hd ma[ga uu[up
田麻屬	tm[wu ma[ga uu[up
甜茅	tm[qg mc[cy
甜茅屬	tm[qg mc[cy uu[up
天門冬	tm[hd mf[du ds[wd
天門冬號病毒	tm[hd mf[du ds[wd hc[kk bk[bh du[fm
天門冬屬	tm[hd mf[du ds[wd uu[up
天名精	tm[hd mk[xk jk[mf
天名精屬	tm[hd mk[xk jk[mf uu[up
天目貝母	tm[hd mu[we bw[kr mu[vv
天目變豆菜	tm[hd mu[we bm[yy dz[hk cd[ca
天目地黃	tm[hd mu[we di[ty hl[gy
天目金粟蘭	tm[hd mu[we jb[rw su[xm lj[bs
天幕毛蟲	tm[hd mu[cj mc[sv is[ks
天目木姜子	tm[hd mu[we mu[ub jl[bn zi[lh
天目木蘭	tm[hd mu[we mu[ub lj[bs
天目樸	tm[hd mu[we pu[ab
天目槭	tm[hd mu[we qi[aw
天目瓊花	tm[hd mu[we qs[ww hx[cr
天目山鳳仙花	tm[hd mu[we uj[uk fg[jy xm[ru hx[cr
天目山景天	tm[hd mu[we uj[uk jk[ow tm[hd
天目山藍	tm[hd mu[we uj[uk lj[cu
天目鐵木	tm[hd mu[we tp[jp mu[ub
天目續斷	tm[hd mu[we xu[su dr[mj
天幕燻蒸	tm[hd mu[cj xy[pd vg[cl
天目早竹	tm[hd mu[we zc[ou vu[rr
天目珍珠菜	tm[hd mu[we vf[wr vu[wp cd[ca
天南星	tm[hd nj[uk xk[op
天南星科	tm[hd nj[uk xk[op ke[hd
天南星科蘭馨	tm[hd nj[uk xk[op ke[hd lj[bs xb[uh
天南星目	tm[hd nj[uk xk[op mu[we
天南星屬	tm[hd nj[uk xk[op uu[up
天牛繭蜂	tm[hd nq[pf jm[ci fg[iw
天女花	tm[hd nv[vp hx[cr
天女木蘭	tm[hd nv[vp mu[ub lj[bs
甜芹	tm[qg qb[cj
天全囊瓣芹	tm[hd qr[rw nh[hk bj[lp qb[cj
天然河砂	tm[hd rj[xd he[dk ua[ex
天然記念物	tm[hd rj[xd ji[yk nm[rx wu[nb
天然孔口	tm[hd rj[xd ks[zv kz[uv
天然免疫性	tm[hd rj[xd mm[dk yi[bj xk[xp
天然殺蟲劑	tm[hd rj[xd ua[ia is[ks ji[wd
天人菊	tm[hd rf[pd ju[cb
天人菊屬	tm[hd rf[pd ju[cb uu[up
天山報春	tm[hd uj[uk bc[fe iy[so
天山柴胡	tm[hd uj[uk id[va hu[go
天山稜子芹	tm[hd uj[uk lg[at zi[lh qb[cj
天山瘤果芹	tm[hd uj[uk lq[bp go[oa qb[cj
天山柳葉菜	tm[hd uj[uk lq[ap ye[ku cd[ca
天山芹屬	tm[hd uj[uk qb[cj uu[up
天山蓍屬	tm[hd uj[uk ui[ct uu[up
天山邪蒿屬	tm[hd uj[uk xp[ye hc[cw uu[up
天山澤芹	tm[hd uj[uk ze[dy qb[cj
天山澤芹屬	tm[hd uj[uk ze[dy qb[cj uu[up
天使鼠	tm[hd ui[rh uu[jv
天司晃	tm[hd si[vh hl[ox
田蒜芥	tm[wu sr[ce jp[cr
天台鵝耳櫪	tm[hd td[sk ee[pn er[hu li[ai
天台闊葉槭	tm[hd td[sk ko[md ye[ku qi[aw
天台溲疏	tm[hd td[sk sz[dj uu[pw
天台鐵線蓮	tm[hd td[sk tp[jp xm[sj lm[ci
天台鴨嘴草	tm[hd td[sk ya[on zv[kv cc[co
甜甜圈坦克	tm[qg tm[qg qr[wb tj[to ke[ge
天童銳角槭	tm[hd ts[lo rv[jb jn[do qi[aw
天外紅	tm[hd wd[xb hs[sg
天仙果	tm[hd xm[ru go[oa
天仙果黑痣病	tm[hd xm[ru go[oa hw[sd vi[bu bk[bh
天仙果灰星病	tm[hd xm[ru go[oa hv[uh xk[op bk[bh
天仙果圓斑	tm[hd xm[ru go[oa yr[wk bj[ww
天仙果藻斑病	tm[hd xm[ru go[oa zc[cd bj[ww bk[bh
天仙藤屬	tm[hd xm[ru tg[co uu[up
天仙子	tm[hd xm[ru zi[lh
天仙子屬	tm[hd xm[ru zi[lh uu[up
天香錦	tm[hd xl[ho jb[jb
天星藤屬	tm[hd xk[op tg[co uu[up
田旋花	tm[wu xr[fr hx[cr
天雪米	tm[hd xt[yx mi[ba
甜楊	tm[qg yh[av
甜葉菊	tm[qg ye[ku ju[cb
甜葉菊屬	tm[qg ye[ku ju[cb uu[up
天野尚	tm[hd ye[oy uh[xk
天魚論壇	tm[hd yu[dt ly[yr tj[te
天魚沙龍	tm[hd yu[dt ua[dx ls[yp
天越雅園	tm[hd yt[zh ya[yv yr[we
田皁角	tm[wu zc[bq jn[do
甜櫧	tm[qg vu[ay
天竺桂	tm[hd vu[ve gv[at
天竺桂餅病	tm[hd vu[ve gv[at bk[ub bk[bh
天竺桂煤汙病	tm[hd vu[ve gv[at mw[hg wu[dh bk[bh
天竺桂藻斑病	tm[hd vu[ve gv[at zc[cd bj[ww bk[bh
天竺桂痣斑病	tm[hd vu[ve gv[at vi[bu bj[ww bk[bh
天竺葵	tm[hd vu[ve kv[cd
天竺葵腐黴病	tm[hd vu[ve kv[cd fu[gk mw[yr bk[bh
天竺葵灰黴病	tm[hd vu[ve kv[cd hv[uh mw[yr bk[bh
天竺葵屬	tm[hd vu[ve kv[cd uu[up
天竺山前胡	tm[hd vu[ve uj[uk qm[bo hu[go
田字草	tm[wu zi[gz cc[co
條斑病	tn[wa bj[ww bk[bh
條斑細菌病	tn[wa bj[ww xi[st jy[cw bk[bh
條背透翅蛾	tn[wa bw[bo tz[hz ii[ux ee[ip
條果芥屬	tn[wa go[oa jp[cr uu[up
條壞死	tn[wa hk[tb si[hx
跳甲	tn[zv jx[ou
條間部	tn[wa jm[mo bu[le
條劍紋夜蛾	tn[wa jm[rd wf[sw ye[wr ee[ip
調節基因	tn[yk jp[ce ji[qt yb[wd
調解基因	tn[yk jp[dd ji[qt yb[wd
條金燈	tn[wa jb[rw dg[hd
條枯病	tn[wa ku[ag bk[bh
條裂小陰地蕨	tn[wa lp[hy xn[ub yb[eo di[ty jt[ci
條裂葉月見草	tn[wa lp[hy ye[ku yt[ke jm[ke cc[co
跳鱸	tn[zv lu[yb
條沙葉蟬	tn[wa ua[dx ye[ku ij[ib
條紋材小蠹	tn[wa wf[sw cd[ac xn[ub du[hi
條紋簇實蠅	tn[wa wf[sw cu[vf ui[gd yk[ik
條紋脆杆藻	tn[wa wf[sw cv[od gj[ag zc[cd
條紋金老虎	tn[wa wf[sw jb[rw lc[tb hu[hj
條紋天蛾	tn[wa wf[sw tm[hd ee[ip
條紋幽天牛	tn[wa wf[sw yz[yy tm[hd nq[pf
條紋藻屬	tn[wa wf[sw zc[cd uu[up
調諧密碼子	tn[yk xp[yb mi[gu ma[em zi[lh
條形葉藍紫堇	tn[wa xk[kp ye[ku lj[cu zi[vy jb[nk
條胸長額天牛	tn[wa xs[ob ih[ph ee[gy tm[hd nq[pf
條胸天牛	tn[wa xs[ob tm[hd nq[pf
條鏽病	tn[wa xq[jh bk[bh
條葉百合	tn[wa ye[ku bd[eo he[rh
條葉東俄芹	tn[wa ye[ku ds[qx ee[rp qb[cj
條葉弓翅芹	tn[wa ye[ku gs[kv ii[ux qb[cj
條葉枯病	tn[wa ye[ku ku[ag bk[bh
條葉龍膽	tn[wa ye[ku ls[yp dj[oo
條葉榕	tn[wa ye[ku rs[ax
條葉絲瓣芹	tn[wa ye[ku si[sh bj[lp qb[cj
條葉巖風	tn[wa ye[ku yj[ue fg[ji
跳竹節蟲	tn[zv vu[rr jp[ce is[ks
貼苞燈心草	tp[bb bc[cb dg[hd xb[dv cc[co
鐵刀木	tp[jp dc[vp mu[ub
鐵燈兔耳風	tp[jp dg[hd tu[dk er[hu fg[ji
鐵燈兔兒風	tp[jp dg[hd tu[dk er[pv fg[ji
鐵釣竿	tp[jp dn[jb gj[vg
鐵冬青	tp[jp ds[wd qk[fo
鐵肥	tp[jp fw[ob
貼附鞘絲藻	tp[bb fu[er qn[gx si[sh zc[cd
貼梗海棠	tp[bb gg[ah hd[dr th[xa
貼梗木瓜	tp[bb gg[ah mu[ub gx[ps
鐵骨黃芽	tp[jp gu[ko hl[gy ya[cy
鐵骨水晶	tp[jp gu[ko uv[uu jk[oo
鐵骨水晶花	tp[jp gu[ko uv[uu jk[oo hx[cr
鐵骨中透	tp[jp gu[ko vs[ku tz[hz
鐵海棠	tp[jp hd[dr th[xa
鐵皇冠	tp[jp hl[bw gr[ge
鐵甲紫羅蘭	tp[jp jx[ou zi[vy lo[sx lj[bs
鐵堅杉	tp[jp jm[ut uj[ap
鐵角蕨	tp[jp jn[do jt[ci
鐵角蕨科	tp[jp jn[do jt[ci ke[hd
鐵筷子屬	tp[jp kk[vx zi[lh uu[up
鐵欖屬	tp[jp lj[au uu[up
鐵力木屬	tp[jp li[vp mu[ub uu[up
鐵馬鞭	tp[jp ma[vv bm[gr
鐵木屬	tp[jp mu[ub uu[up
鐵破鑼屬	tp[jp po[ep lo[js uu[up
鐵青樹科	tp[jp qk[fo uu[ay ke[hd
鐵青樹屬	tp[jp qk[fo uu[ay uu[up
鐵掃帚	tp[jp sc[fx vz[xj
鐵色草	tp[jp se[db cc[co
鐵色箭	tp[jp se[db jm[vb
鐵杉	tp[jp uj[ap
鐵杉巢蛾	tp[jp uj[ap ic[vo ee[ip
鐵杉大蚜	tp[jp uj[ap da[hr ya[iy
鐵杉堆砂蛀	tp[jp uj[ap dv[tv ua[ex vu[id
鐵山耬鬥菜	tp[jp uj[uk lz[lm dz[du cd[ca
鐵杉木蛾	tp[jp uj[ap mu[ub ee[ip
鐵杉球蚜	tp[jp uj[ap qq[wh ya[iy
鐵杉屬	tp[jp uj[ap uu[up
鐵杉圓盾蚧	tp[jp uj[ap yr[wk dy[pu jp[ir
鐵杉蛀蛾	tp[jp uj[ap vu[id ee[ip
鐵氏束毛藻	tp[jp ui[pq uu[hk mc[sv zc[cd
鐵頭梨	tp[jp tz[dd li[ha
鐵莧菜	tp[jp xm[cj cd[ca
鐵莧菜屬	tp[jp xm[cj cd[ca uu[up
鐵線蕨	tp[jp xm[sj jt[ci
鐵線蕨科	tp[jp xm[sj jt[ci ke[hd
鐵莧藍跳甲	tp[jp xm[cj lj[cu tn[zv jx[ou
鐵線蓮	tp[jp xm[sj lm[ci
鐵線蓮白粉病	tp[jp xm[sj lm[ci bd[po ff[mf bk[bh
鐵線蓮瘤蚜	tp[jp xm[sj lm[ci lq[bp ya[iy
鐵線蓮綿蚜	tp[jp xm[sj lm[ci mm[sb ya[iy
鐵線蓮屬	tp[jp xm[sj lm[ci uu[up
鐵線蓮鐵線蓮	tp[jp xm[sj lm[ci tp[jp xm[sj lm[ci
鐵線子屬	tp[jp xm[sj zi[lh uu[up
鐵仔	tp[jp zd[rz
鐵仔屬	tp[jp zd[rz uu[up
庭菖蒲	tk[gq ih[co pu[cd
庭菖蒲屬	tk[gq ih[co pu[cd uu[up
鞓紅	tk[[ hs[sg
庭薺屬	tk[gq ji[cw uu[up
葶菊屬	tk[cw ju[cb uu[up
葶藶	tk[cw li[ci
葶藶屬	tk[cw li[ci uu[up
停留寄生	tk[rw lq[pt ji[gd ug[pf
庭藤	tk[gq tg[co
庭圓尺蠖	tk[gq yr[wk ii[ud ho[ic
庭圓灰蛞蝓	tk[gq yr[wk hv[uh ko[iq yu[ir
庭園蠻夜蛾	tk[gq yr[we mj[yi ye[wr ee[ip
庭園圓跳蟲	tk[gq yr[we yr[wk tn[zv is[ks
莛子藨屬	tk[cq zi[lh bn[[ uu[up
銅暗步甲	ts[jk an[ol bu[vu jx[ou
同白秋鼠麴草	ts[kh bd[po qq[hh uu[jv qu[[ cc[co
同瓣草屬	ts[kh bj[lp cc[co uu[up
筒瓣蘭屬	ts[vk bj[lp lj[bs uu[up
桶孢	ts[as bc[zb
同步培養	ts[kh bu[vu pw[tl yh[yp
通草粉蚧	ts[sz cc[co ff[mf jp[ir
通草粉蝨	ts[sz cc[co ff[mf ui[vp
通草履蚧	ts[sz cc[co lv[ur jp[ir
銅錘草	ts[jk iv[ji cc[co
銅錘玉帶草	ts[jk iv[ji yu[wd dd[cj cc[co
銅錘玉帶草屬	ts[jk iv[ji yu[wd dd[cj cc[co uu[up
同等位基因	ts[kh dg[vt ww[rl ji[qt yb[wd
筒冠花屬	ts[vk gr[ge hx[cr uu[up
銅光葉甲	ts[jk gl[xe ye[ku jx[ou
銅光隱肢葉甲	ts[jk gl[xe yb[ed vi[ou ye[ku jx[ou
茼蒿和性病毒	ts[ck hc[cw he[hk xk[xp bk[bh du[fm
茼蒿屬	ts[ck hc[cw uu[up
茼蒿霜黴病	ts[ck hc[cw ul[ya mw[yr bk[bh
