哀而不傷	ai[wk er[ek bu[eu uh[rr
冉子退朝	rj[kt zi[lh tv[gz ic[uo
冉子為其母請粟	rj[kt zi[lh ww[dl qi[cb mu[vv qk[yf su[xm
冉子與之粟五秉	rj[kt zi[lh yu[hv vi[dv su[xm wu[hu bk[ph
人必知之	rf[pd bi[xp vi[uk vi[dv
人不	rf[pd bu[eu
人不間於其父母昆弟之言	rf[pd bu[eu jm[mo yu[eu qi[cb fu[bi mu[vv ky[ob di[bg vi[dv yj[we
人不堪其憂	rf[pd bu[eu kj[tq qi[cb yz[xy
仁不能守之	rf[re bu[eu ng[sb uz[gc vi[dv
人不厭其取	rf[pd bu[eu yj[iq qi[cb qu[ey
人不厭其言	rf[pd bu[eu yj[iq qi[cb yj[we
人不知	rf[pd bu[eu vi[uk
人而不仁	rf[pd er[ek bu[eu rf[re
人而不為周南召南	rf[pd er[ek bu[eu ww[dl vz[kt nj[uk vc[dk nj[uk
人而無恆	rf[pd er[ek wu[ee hg[xh
人而無信	rf[pd er[ek wu[ee xb[ry
人將拒我	rf[pd jl[dx ju[fk wo[pf
人潔己以進	rf[pd jp[du ji[kv yi[sr jb[ez
人皆有兄弟	rf[pd jp[bb yz[uo xs[ke di[bg
人能弘道	rf[pd ng[sb hs[gs dc[bz
仁能守之	rf[re ng[sb uz[gc vi[dv
人其舍諸	rf[pd qi[cb ue[rg vu[yt
人雖欲自絕	rf[pd sv[ki yu[bd zi[pm jt[sd
人未有自致者也	rf[pd ww[ha yz[uo zi[pm vi[hw ve[to ye[vu
人無遠慮	rf[pd wu[ee yr[ez lv[hx
人焉廋哉	rf[pd yj[hh sz[[ zd[tk
人也	rf[pd ye[vu
人以為諂也	rf[pd yi[sr ww[dl ij[yd ye[vu
仁以為己任	rf[re yi[sr ww[dl ji[kv rf[rq
仁遠乎哉	rf[re yr[ez hu[pb zd[tk
人曰	rf[pd yt[wh
仁在其中矣	rf[re zd[ut qi[cb vs[ku yi[su
仁則吾不	rf[re ze[bd wu[wk bu[eu
仁者	rf[re ve[to
仁者安仁	rf[re ve[to an[gn rf[re
仁者必有勇	rf[re ve[to bi[xp yz[uo ys[sl
仁者不憂	rf[re ve[to bu[eu yz[xy
仁者靜	rf[re ve[to jk[fd
仁者樂山	rf[re ve[to le[px uj[uk
仁者壽	rf[re ve[to uz[fc
仁者先難而後獲	rf[re ve[to xm[ne nj[yv er[ek hz[pk ho[cq
人之過也	rf[pd vi[dv go[cz ye[vu
人之將死	rf[pd vi[dv jl[dx si[hx
人之生也直	rf[pd vi[dv ug[pf ye[vu vi[uj
人之言曰	rf[pd vi[dv yj[we yt[wh
任重而道遠	rf[rq vs[ph er[ek dc[bz yr[ez
仍舊貫	rg[rn jq[uo gr[mb
日月逝矣	ri[wh yt[ke ui[fz yi[su
日月也	ri[wh yt[ke ye[vu
日知其所亡	ri[wh vi[uk qi[cb so[pj wh[wv
肉雖多	rz[kr sv[ki do[xx
孺悲欲見孔子	ru[zy bw[fx yu[bd jm[ke ks[zv zi[lh
如不祭	ru[nk bu[eu ji[xe
如不可求	ru[nk bu[eu ke[dk qq[hu
如不容	ru[nk bu[eu rs[xr
如不如鄉人之善者好之	ru[nk bu[eu ru[nk xl[sp rf[pd vi[dv uj[yk ve[to hc[nz vi[dv
如不善而莫之違也	ru[nk bu[eu uj[yk er[ek mo[co vi[dv ww[wz ye[vu
如不勝	ru[nk bu[eu ug[op
如得其情	ru[nk de[ro qi[cb qk[xf
如浮雲	ru[nk fu[da yy[es
入公門	ru[pd gs[bs mf[du
如會同	ru[nk hv[re ts[kh
如樂何	ru[nk le[px he[rk
如禮何	ru[nk li[uv he[rk
如臨	ru[nk lb[uv
如履薄冰	ru[nk lv[ur bo[cd bk[du
如其禮樂	ru[nk qi[cb li[uv yt[px
如其仁	ru[nk qi[cb rf[re
如其善而莫之違也	ru[nk qi[cb uj[yk er[ek mo[co vi[dv ww[wz ye[vu
如日月之食焉	ru[nk ri[wh yt[ke vi[dv ui[rl yj[hh
如殺無道	ru[nk ua[ia wu[ee dc[bz
如斯而已乎	ru[nk si[qj er[ek yi[kv hu[pb
入太廟	ru[pd td[dd mn[gy
如五六十	ru[nk wu[hu lq[wb ui[hu
如也	ru[nk ye[vu
如用之	ru[nk ys[ou vi[dv
如有博施於民而能濟眾	ru[nk yz[uo bo[uf ui[fr yu[eu mb[kv er[ek ng[sb ji[dw vs[rr
如有所立卓爾	ru[nk yz[uo so[pj li[lh vo[bo er[dx
如有所譽者	ru[nk yz[uo so[pj yu[xy ve[to
如有王者	ru[nk yz[uo wh[su ve[to
如有用我者	ru[nk yz[uo ys[ou wo[pf ve[to
如有政	ru[nk yz[uo vg[hw
如有周公之才之美	ru[nk yz[uo vz[kt gs[bs vi[dv cd[hu vi[dv mw[bw
如愚	ru[nk yu[ox
入曰	ru[pd yt[wh
入則事父兄	ru[pd ze[bd ui[hk fu[bi xs[ke
如正人何	ru[nk vg[hv rf[pd he[rk
如之何	ru[nk vi[dv he[rk
如之何其徹也	ru[nk vi[dv he[rk qi[cb ie[rq ye[vu
如之何其廢之	ru[nk vi[dv he[rk qi[cb fw[gv vi[dv
如之何其拒人也	ru[nk vi[dv he[rk qi[cb ju[fk rf[pd ye[vu
如之何其可及也	ru[nk vi[dv he[rk qi[cb ke[dk ji[pv ye[vu
如之何其聞斯行之	ru[nk vi[dv he[rk qi[cb wf[me si[qj xk[rh vi[dv
如之何者	ru[nk vi[dv he[rk ve[to
如知為君之難也	ru[nk vi[uk ww[dl jy[xk vi[dv nj[yv ye[vu
如琢如磨	ru[nk vo[wu ru[nk mo[ge
若季氏則吾不能	ro[cu ji[hz ui[pq ze[bd wu[wk bu[eu ng[sb
若聖與仁	ro[cu ug[yt yu[hv rf[re
若由也	ro[cu yz[ou ye[vu
若臧武仲之知	ro[cu zh[wk wu[hv vs[rv vi[dv vi[uk
三黜	sj[hh iu[hi
三代	sj[hh dd[rq
三飯繚適蔡	sj[hh fj[up ln[sd ui[qz cd[cx
三分天下有其二	sj[hh ff[bd tm[hd xx[hb yz[uo qi[cb er[hh
三家者	sj[hh jx[gu ve[to
三軍可奪帥也	sj[hh jy[gi ke[dk do[dc uk[uj ye[vu
三年	sj[hh nm[rn
三年不為樂	sj[hh nm[rn bu[eu ww[dl le[px
三年不言	sj[hh nm[rn bu[eu yj[we
三年無改於父之道	sj[hh nm[rn wu[ee gd[kw yu[eu fu[bi vi[dv dc[bz
三年學	sj[hh nm[rn xt[xz
三年有成	sj[hh nm[rn yz[uo ig[wv
三年之喪	sj[hh nm[rn vi[dv sh[ty
三人行	sj[hh rf[pd xk[rh
三日不朝	sj[hh ri[wh bu[eu ic[uo
三世	sj[hh ui[nv
三十而立	sj[hh ui[hu er[ek li[lh
三嗅而作	sj[hh xq[kz er[ek zo[rv
三以天下讓	sj[hh yi[sr tm[hd xx[hb rh[yu
三月不知肉味	sj[hh yt[ke bu[eu vi[uk rz[kr ww[kh
三子者出	sj[hh zi[lh ve[to iu[ck
喪邦乎	sh[ty bh[fe hu[pb
喪事不敢不勉	sh[ty ui[hk bu[eu gj[vw bu[eu mm[dl
喪思哀	sh[ty si[tx ai[wk
喪與其易也	sh[ty yu[hv qi[cb yi[ob ye[vu
喪致乎哀而止	sh[ty vi[hw hu[pb ai[wk er[ek vi[uh
色勃如也	se[db bo[ul ru[nk ye[vu
色惡	se[db ee[hx
色厲而內荏	se[db li[iw er[ek nw[kr rf[cr
色難	se[db nj[yv
色取仁	se[db qu[ey rf[re
色斯舉矣	se[db si[qj ju[xf yi[su
色思溫	se[db si[tx wf[do
色莊者乎	se[db vl[gt ve[to hu[pb
殺雞為黍而食之	ua[ia ji[yn ww[dl uu[hr er[ek ui[rl vi[dv
山川其舍諸	uj[uk ir[pu qi[cb ue[rg vu[yt
善夫	uj[yk fu[er
善居室	uj[yk ju[ug ui[gh
山樑雌雉	uj[uk ll[da ci[vv vi[uv
善人教民七年	uj[yk rf[pd jn[tw mb[kv qi[hv nm[rn
善人是富	uj[yk rf[pd ui[op fu[gh
善人為邦百年	uj[yk rf[pd ww[dl bh[fe bd[eo nm[rn
善人吾不得而見之矣	uj[yk rf[pd wu[wk bu[eu de[ro er[ek jm[ke vi[dv yi[su
善為我辭焉如有復我者	uj[yk ww[dl wo[pf ci[ql yj[hh ru[nk yz[uo fu[ro wo[pf ve[to
善誘人	uj[yk yz[yh rf[pd
善哉	uj[yk zd[tk
善哉問	uj[yk zd[tk wf[mk
尚德哉若人	uh[xk de[ru zd[tk ro[cu rf[pd
上好禮	uh[bh hc[nz li[uv
上好信	uh[bh hc[nz xb[ry
上好義	uh[bh hc[nz yi[di
傷人乎	uh[rr rf[pd hu[pb
上如揖	uh[bh ru[nk yi[fk
上失其道	uh[bh ui[pe qi[cb dc[bz
商聞之矣	uh[lk wf[me vi[dv yi[su
上下神只	uh[bh xx[hb uf[uo vi[kb
商也不及	uh[lk ye[vu bu[eu ji[pv
上矣	uh[bh yi[su
上者	uh[bh ve[to
少師陽擊磬襄入於海	uc[xp ui[uh yh[eo ji[fk qk[ue xl[wk ru[pd yu[eu hd[dr
少有	uc[xp yz[uo
少之時	uc[xp vi[dv ui[oc
射不主皮	ue[uc bu[eu vu[dw pi[vp
攝乎大國之間	ue[fe hu[pb da[hr go[ww vi[dv jm[mo
攝齊升堂	ue[fe qi[wp ug[pc th[xt
舍瑟而作	ue[rg se[wx er[ek zo[rv
赦小過	ue[tw xn[ub go[cz
奢則不孫	ue[dt ze[bd bu[eu sy[zx
舍之則藏	ue[rg vi[dv ze[bd ch[cw
慎而無禮則葸	uf[xu er[ek wu[ee li[uv ze[bd xi[ct
審法度	uf[go fa[dt du[gn
申申如也	uf[ou uf[ou ru[nk ye[vu
慎行其餘	uf[xu xk[rh qi[cb yu[re
慎言其餘	uf[xu yj[we qi[cb yu[re
甚矣吾衰也	uf[qv yi[su wu[wk uk[wk ye[vu
甚於水火	uf[qv yu[eu uv[uu ho[dp
深淵	uf[dg yr[dp
深則厲	uf[dg ze[bd li[iw
身中清	uf[pu vs[ku qk[df
慎終追遠	uf[xu vs[sw vv[pz yr[ez
升車	ug[pc ie[qu
生而知之者上也	ug[pf er[ek vi[uk vi[dv ve[to uh[bh ye[vu
聖人吾不得而見之矣	ug[yt rf[pd wu[wk bu[eu de[ro er[ek jm[ke vi[dv yi[su
事不成	ui[hk bu[eu ig[wv
士不可以不弘毅	ui[uh bu[eu ke[dk yi[sr bu[eu hs[gs yi[lj
食不厭精	ui[rl bu[eu yj[iq jk[mf
食不語	ui[rl bu[eu yu[yw
是道也	ui[op dc[bz ye[vu
士而懷居	ui[uh er[ek hk[xb ju[ug
仕而優則學	ui[ru er[ek yz[ry ze[bd xt[xz
式負	ui[qg fu[db
食夫稻	ui[rl fu[er dc[ha
事父母	ui[hk fu[bi mu[vv
事父母幾諫	ui[hk fu[bi mu[vv ji[pv jm[yh
弒父與君	ui[iq fu[bi yu[hv jy[xk
是故惡夫佞者	ui[op gu[gw ee[hx fu[er nk[re ve[to
是故哂之	ui[op gu[gw uf[kx vi[dv
士何如斯可謂之達矣	ui[uh he[rk ru[nk si[qj ke[dk ww[yt vi[dv da[dz yi[su
使乎	ui[rh hu[pb
是惑也	ui[op ho[gx ye[vu
士見危致命	ui[uh jm[ke ww[de vi[hw mk[rh
使驕且吝	ui[rh jn[mp qp[ke lb[wk
事君	ui[hk jy[xk
事君盡禮	ui[hk jy[xk jb[ud li[uv
事君敬其事	ui[hk jy[xk jk[cw qi[cb ui[hk
事君數	ui[hk jy[xk uu[mw
是可忍也	ui[op ke[dk rf[dx ye[vu
詩可以興	ui[yt ke[dk yi[sr xk[xb
始可與言詩已矣	ui[ns ke[dk yu[hv yj[we ui[yt yi[kv yi[su
是禮也	ui[op li[uv ye[vu
是魯孔丘與	ui[op lu[yo ks[zv qq[jh yu[hv
是魯孔丘之徒與	ui[op lu[yo ks[zv qq[jh vi[dv tu[rz yu[hv
師冕出	ui[uh mm[od iu[ck
師冕見	ui[uh mm[od jm[ke
使民敬忠以勸	ui[rh mb[kv jk[cw vs[vx yi[sr qr[yl
使民如承大祭	ui[rh mb[kv ru[nk ig[lu da[hr ji[xe
使民以時	ui[rh mb[kv yi[sr ui[oc
使民戰慄	ui[rh mb[kv vj[bg li[xa
是難能也	ui[op nj[yv ng[sb ye[vu
事其大夫之賢者	ui[hk qi[cb dd[hr fu[er vi[dv xm[ub ve[to
視其所以	ui[uj qi[cb so[pj yi[sr
是丘也	ui[op qq[jh ye[vu
失飪	ui[pe rf[uq
失人	ui[pe rf[pd
是人之	ui[op rf[pd vi[dv
是人之所欲也	ui[op rf[pd vi[dv so[pj yu[bd ye[vu
實若虛	ui[gd ro[cu xu[hy
詩三百	ui[yt sj[hh bd[eo
是社稷之臣也	ui[op ue[ut ji[ht vi[dv if[ku ye[vu
十世可知也	ui[hu ui[nv ke[dk vi[uk ye[vu
侍食於君	ui[rt ui[rl yu[eu jy[xk
室是遠而	ui[gh ui[op yr[ez er[ek
世叔討論之	ui[nv uu[uy tc[yc ly[yr vi[dv
詩書執禮	ui[yt uu[vv vi[fj li[uv
是誰之過與	ui[op uv[yv vi[dv go[cz yu[hv
事思	ui[hk si[tx
視思明	ui[uj si[tx mk[oo
是謂過矣	ui[op ww[yt go[cz yi[su
是謂能養	ui[op ww[yt ng[sb yh[yp
是謂棄之	ui[op ww[yt qi[wc vi[dv
是為賊	ui[op ww[dl zw[bg
是聞也	ui[op wf[me ye[vu
是吾憂也	ui[op wu[wk yz[xy ye[vu
是賢乎	ui[op xm[ub hu[pb
失言	ui[pe yj[we
是也	ui[op ye[vu
師也過	ui[uh ye[vu go[cz
師也闢	ui[uh ye[vu pi[ul
食饐而餲	ui[rl yi[[ er[ek ai[[
是以君子不為也	ui[op yi[sr jy[xk zi[lh bu[eu ww[dl ye[vu
是以君子惡居下流	ui[op yi[sr jy[xk zi[lh wu[hx ju[ug xx[hb lq[dw
是亦為政	ui[op yi[wy ww[dl vg[hw
氏亦有反坫	ui[pq yi[wy yz[uo fj[py dm[tb
始有	ui[ns yz[uo
侍於君子有三愆	ui[rt yu[eu jy[xk zi[lh yz[uo sj[hh qm[rx
師與商也孰賢	ui[uh yu[hv uh[lk ye[vu uu[wj xm[ub
使於四方	ui[rh yu[eu si[we fh[dw
施於有政	ui[fr yu[eu yz[uo vg[hw
詩云	ui[yt yy[es
詩云如切如磋	ui[yt yy[es ru[nk qp[qd ru[nk co[ey
時哉時哉	ui[oc zd[tk ui[oc zd[tk
使者出	ui[rh ve[to iu[ck
逝者如斯夫	ui[fz ve[to ru[nk si[qj fu[er
食旨不甘	ui[rl vi[bo bu[eu gj[nh
是知津	ui[op vi[uk jb[dy
是知其不	ui[op vi[uk qi[cb bu[eu
使之聞之	ui[rh vi[dv wf[me vi[dv
是知也	ui[op vi[uk ye[vu
事之以禮	ui[hk vi[dv yi[sr li[uv
士志於道	ui[uh vi[ux yu[eu dc[bz
師摯之始	ui[uh vi[ff vi[dv ui[ns
使子路反見之	ui[rh zi[lh lu[zw fj[py jm[ke vi[dv
使子路問津焉	ui[rh zi[lh lu[zw wf[mk jb[dy yj[hh
始作	ui[ns zo[rv
守死善道	uz[gc si[hx uj[yk dc[bz
授之以政	uz[fa vi[dv yi[sr vg[hw
孰不可忍也	uu[wj bu[eu ke[dk rf[dx ye[vu
孰不知禮	uu[wj bu[eu vi[uk li[uv
述而不作	uu[az er[ek bu[eu zo[rv
述而第七	uu[az er[ek di[vg qi[hv
孰敢不正	uu[wj gj[vw bu[eu vg[hv
孰後倦焉	uu[wj hz[pk jr[rb yj[hh
孰能為之大	uu[wj ng[sb ww[dl vi[dv da[hr
叔孫武叔毀仲尼	uu[uy sy[zx wu[hv uu[uy hv[jj vs[rv ni[ub
叔孫武叔語大夫於朝	uu[uy sy[zx wu[hv uu[uy yu[yw dd[hr fu[er yu[eu ic[uo
孰為夫子	uu[wj ww[dl fu[er zi[lh
孰謂鄹人之子知禮乎	uu[wj ww[yt zz[ee rf[pd vi[dv zi[lh vi[uk li[uv hu[pb
孰先傳焉	uu[wj xm[ne ir[re yj[hh
庶矣哉	uu[gn yi[su zd[tk
書雲	uu[vv yy[es
誰毀誰譽	uv[yv hv[jj uv[yv yu[xy
水火	uv[uu ho[dp
誰能出不由戶	uv[yv ng[sb iu[ck bu[eu yz[ou hu[du
誰為	uv[yv ww[dl
舜亦以命禹	uy[ax yi[wy yi[sr mk[rh yu[pk
舜有臣五人而天下治	uy[ax yz[uo if[ku wu[hu rf[pd er[ek tm[hd xx[hb vi[ds
舜有天下	uy[ax yz[uo tm[hd xx[hb
舜禹之有天下也而不與焉	uy[ax yu[pk vi[dv yz[uo tm[hd xx[hb ye[vu er[ek bu[eu yu[hv yj[hh
說而不繹	uo[yb er[ek bu[eu yi[sy
說也	uo[yb ye[vu
說之不以道	uo[yb vi[dv bu[eu yi[sr dc[bz
說之雖不以道	uo[yb vi[dv sv[ki bu[eu yi[sr dc[bz
駟不及舌	si[ms bu[eu ji[pv ue[qk
似不能言者	si[rs bu[eu ng[sb yj[we ve[to
斯不亦惠而不費乎	si[qj bu[eu yi[wy hv[hx er[ek bu[eu fw[fb hu[pb
斯不亦泰而不驕乎	si[qj bu[eu yi[wy td[su er[ek bu[eu jn[mp hu[pb
斯不亦威而不猛乎	si[qj bu[eu yi[wy ww[wh er[ek bu[eu mg[qz hu[pb
斯出矣	si[qj iu[ck yi[su
私覿	si[hs di[uj
思而不學	si[tx er[ek bu[eu xt[xz
死而後已	si[hx er[ek hz[pk yi[kv
死而無悔者	si[hx er[ek wu[ee hv[xr ve[to
四飯缺適秦	si[we fj[up qt[pv ui[qz qb[sh
四方之政行焉	si[we fh[dw vi[dv vg[hw xk[rh yj[hh
四海困窮	si[we hd[dr ky[wa qs[xl
斯害也已	si[qj hd[gf ye[vu yi[kv
四海之內皆兄弟也	si[we hd[dr vi[dv nw[kr jp[bb xs[ke di[bg ye[vu
斯己而已矣	si[qj ji[kv er[ek yi[kv yi[su
斯近信矣	si[qj jb[jz xb[ry yi[su
斯可矣	si[qj ke[dk yi[su
斯可以從政矣	si[qj ke[dk yi[sr cs[rr vg[hw yi[su
司馬牛問君子	si[vh ma[vv nq[pf wf[mk jy[xk zi[lh
司馬牛問仁	si[vh ma[vv nq[pf wf[mk rf[re
司馬牛憂曰	si[vh ma[vv nq[pf yz[xy yt[wh
斯民也	si[qj mb[kv ye[vu
斯人也而有斯疾也	si[qj rf[pd ye[vu er[ek yz[uo si[qj ji[bu ye[vu
斯仁至矣	si[qj rf[re vi[ht yi[su
斯辱矣	si[qj ru[ic yi[su
死生有命	si[hx ug[pf yz[uo mk[rh
四十而不惑	si[we ui[hu er[ek bu[eu ho[gx
四十五十而無聞焉	si[we ui[hu wu[hu ui[hu er[ek wu[ee wf[me yj[hh
四時行焉	si[we ui[oc xk[rh yj[hh
斯疏矣	si[qj uu[pw yi[su
四體不勤	si[we ti[ra bu[eu qb[nl
斯謂之君子已乎	si[qj ww[yt vi[dv jy[xk zi[lh yi[kv hu[pb
斯謂之仁已乎	si[qj ww[yt vi[dv rf[re yi[kv hu[pb
思無邪	si[tx wu[ee xp[ye
斯亦不足	si[qj yi[wy bu[eu zu[kv
斯遠暴慢矣	si[qj yr[ez bc[og mj[xo yi[su
斯遠鄙倍矣	si[qj yr[ez bi[ke bw[rl yi[su
斯知仁矣	si[qj vi[uk rf[re yi[su
死之日	si[hx vi[dv ri[wh
宋不足徵也	ss[ga bu[eu zu[kv vg[rh ye[vu
誦詩三百	ss[ys ui[yt sj[hh bd[eo
素衣	su[fy yi[wy
素以為絢兮	su[fy yi[sr ww[dl xr[sb xi[bk
雖百世	sv[ki bd[eo ui[nv
歲不我與	sv[ux bu[eu wo[pf yu[hv
雖不吾以	sv[ki bu[eu wu[wk yi[sr
雖車馬	sv[ki ie[qu ma[vv
雖得之	sv[ki de[ro vi[dv
雖多	sv[ki do[xx
雖覆一簣	sv[ki fu[xr yi[hh kv[vv
雖告之曰	sv[ki gc[nk vi[dv yt[wh
歲寒然後知松柏之後凋也	sv[ux hj[gd rj[xd hz[pk vi[uk ss[ab bd[ab vi[dv hz[pk dn[dk ye[vu
雖令不從	sv[ki lk[rd bu[eu cs[rr
雖蠻貊之邦行矣	sv[ki mj[yi mo[pe vi[dv bh[fe xk[rh yi[su
雖賞之不竊	sv[ki uh[xk vi[dv bu[eu qp[xq
雖少	sv[ki uc[xp
遂事不諫	sv[bz ui[hk bu[eu jm[yh
雖疏食菜羹	sv[ki uu[pw ui[rl cd[ca gg[bb
雖違眾	sv[ki ww[wz vs[rr
雖狎	sv[ki xx[qo
雖小道	sv[ki xn[ub dc[bz
雖褻	sv[ki xp[wf
雖有粟	sv[ki yz[uo su[xm
雖有周親	sv[ki yz[uo vz[kt qb[la
雖欲從之	sv[ki yu[bd cs[rr vi[dv
雖欲勿用	sv[ki yu[bd wu[bp ys[ou
雖曰不要君	sv[ki yt[wh bu[eu yc[xn jy[xk
雖曰未學	sv[ki yt[wh ww[ha xt[xz
雖執鞭之士	sv[ki vi[fj bm[gr vi[dv ui[uh
綏之斯來	sv[sa vi[dv si[qj ld[hm
雖之夷狄	sv[ki vi[dv yi[hg di[qh
損矣	sy[fk yi[su
孫以出之	sy[zx yi[sr iu[ck vi[dv
損者三樂	sy[fk ve[to sj[hh le[px
損者三友	sy[fk ve[to sj[hh yz[uy
所惡也	so[pj ee[hx ye[vu
所損益	so[pj sy[fk yi[bm
所謂大臣者	so[pj ww[yt da[hr if[ku ve[to
所謂立之斯立	so[pj ww[yt li[lh vi[dv si[qj li[lh
所重	so[pj vs[ph
他人之賢者	ta[ry rf[pd vi[dv xm[ub ve[to
他日又獨立	ta[ry ri[wh yz[vd du[qi li[lh
泰伯	td[su bo[rb
泰伯第八	td[su bo[rb di[vg ba[pd
泰而不驕	td[su er[ek bu[eu jn[mp
泰也	td[su ye[vu
太宰問於子貢曰	td[dd zd[gl wf[mk yu[eu zi[lh gs[gb yt[wh
太宰知我乎	td[dd zd[gl vi[uk wo[pf hu[pb
唐棣之華	th[gx di[ax vi[dv hx[ru
堂堂乎張也	th[xt th[xt hu[pb vh[gi ye[vu
湯有天下	th[dv yz[uo tm[hd xx[hb
唐虞之際	th[gx yu[hk vi[dv ji[ee
滔滔者	tc[da tc[da ve[to
天何言哉	tm[hd he[rk yj[we zd[tk
天將以夫子為木鐸	tm[hd jl[dx yi[sr fu[er zi[lh ww[dl mu[ub do[jy
天祿永終	tm[hd lu[ux ys[dv vs[sw
天喪予	tm[hd sh[ty yu[sv
天生德於予	tm[hd ug[pf de[ru yu[eu yu[sv
天下	tm[hd xx[hb
天下歸仁焉	tm[hd xx[hb gv[ux rf[re yj[hh
天下皆是也	tm[hd xx[hb jp[bb ui[op ye[vu
天下無道	tm[hd xx[hb wu[ee dc[bz
天下有道	tm[hd xx[hb yz[uo dc[bz
天下有道則見	tm[hd xx[hb yz[uo dc[bz ze[bd jm[ke
天下之惡皆歸焉	tm[hd xx[hb vi[dv ee[hx jp[bb gv[ux yj[hh
天下之通喪也	tm[hd xx[hb vi[dv ts[sz sh[ty ye[vu
天下之無道也久矣	tm[hd xx[hb vi[dv wu[ee dc[bz ye[vu jq[xd yi[su
天厭之	tm[hd yj[iq vi[dv
天之將喪斯文也	tm[hd vi[dv jl[dx sh[ty si[qj wf[wi ye[vu
天之歷數在爾躬	tm[hd vi[dv li[il uu[mw zd[ut er[dx gs[ug
天之未喪斯文也	tm[hd vi[dv ww[ha sh[ty si[qj wf[wi ye[vu
天子穆穆	tm[hd zi[lh mu[hb mu[hb
聽其言也厲	tk[kj qi[cb yj[we ye[vu li[iw
聽思聰	tk[kj si[tx cs[eb
聽訟	tk[kj ss[yb
童子見	ts[lo zi[lh jm[ke
童子六七人	ts[lo zi[lh lq[wb qi[hv rf[pd
退而省其私	tv[gz er[ek ug[xm qi[cb si[hs
拖紳	to[fr uf[so
萬方有罪	wj[hv fh[dw yz[uo zv[sf
枉道而事人	wh[aw dc[bz er[ek ui[hk rf[pd
亡而為有	wh[wv er[ek ww[dl yz[uo
忘其身以及	wh[wx qi[cb uf[pu yi[sr ji[pv
王孫賈問曰	wh[su sy[zx jx[xb wf[mk yt[wh
王孫賈治軍旅	wh[su sy[zx jx[xb vi[ds jy[gi lv[fr
往也	wh[rd ye[vu
往者不可諫	wh[rd ve[to bu[eu ke[dk jm[yh
枉者直	wh[aw ve[to vi[uj
亡之	wh[wv vi[dv
罔之生也幸而免	wh[kb vi[dv ug[pf ye[vu xk[tb er[ek mm[dk
望之儼然	wh[ww vi[dv yj[rh rj[xd
危邦不入	ww[de bh[fe bu[eu ru[pd
未嘗飽也	ww[ha ih[xe bc[ub ye[vu
未嘗至於偃之室也	ww[ha ih[xe vi[ht yu[eu yj[rk vi[dv ui[gh ye[vu
為臣不易	ww[dl if[ku bu[eu yi[ob
未成一簣	ww[ha ig[wv yi[hh kv[vv
唯赤則非邦也與	ww[kv ii[ty ze[bd fw[su bh[fe ye[vu yu[hv
畏大人	ww[th da[hr rf[pd
危而不持	ww[de er[ek bu[eu ii[ft
威而不猛	ww[wh er[ek bu[eu mg[qz
衛公孫朝問於子貢曰	ww[eh gs[bs sy[zx ic[uo wf[mk yu[eu zi[lh gs[gb yt[wh
微管仲	ww[ru gr[vg vs[rv
為國以禮	ww[dl go[ww yi[sr li[uv
唯何甚	ww[kv he[rk uf[qv
未見蹈仁而死者也	ww[ha jm[ke dc[za rf[re er[ek si[hx ve[to ye[vu
未見其人也	ww[ha jm[ke qi[cb rf[pd ye[vu
未見其止也	ww[ha jm[ke qi[cb vi[uh ye[vu
未見顏色而言謂之瞽	ww[ha jm[ke yj[ly ud[db er[ek yj[we ww[yt vi[dv gu[um
唯謹爾	ww[kv jb[yn er[dx
未盡善也	ww[ha jb[ud uj[yk ye[vu
唯酒無量	ww[kv jq[dy wu[ee ll[oh
衛君待子而為政	ww[eh jy[xk dd[rt zi[lh er[ek ww[dl vg[hw
為君難	ww[dl jy[xk nj[yv
未可也	ww[ha ke[dk ye[vu
未可與	ww[ha ke[dk yu[hv
未可與立	ww[ha ke[dk yu[hv li[lh
未可與適道	ww[ha ke[dk yu[hv ui[qz dc[bz
為孔丘	ww[dl ks[zv qq[jh
謂孔子曰	ww[yt ks[zv zi[lh yt[wh
為禮不敬	ww[dl li[uv bu[eu jk[cw
為力不同科	ww[dl li[vp bu[eu ts[kh ke[hd
衛靈公第十五	ww[eh lk[xh gs[bs di[vg ui[hu wu[hu
衛靈公問陳於孔子	ww[eh lk[xh gs[bs wf[mk if[eq yu[eu ks[zv zi[lh
謂柳下惠少連	ww[yt lq[ap xx[hb hv[hx uc[xp lm[iz
謂門弟子曰	ww[yt mf[du di[bg zi[lh yt[wh
為命	ww[dl mk[rh
為難能也	ww[dl nj[yv ng[sb ye[vu
未能事人	ww[ha ng[sb ui[hk rf[pd
唯女子與小人為難養也	ww[kv nv[vp zi[lh yu[hv xn[ub rf[pd ww[dl nj[yv yh[yp ye[vu
唯其言而	ww[kv qi[cb yj[we er[ek
唯求則非邦也與	ww[kv qq[hu ze[bd fw[su bh[fe ye[vu yu[hv
未仁乎	ww[ha rf[re hu[pb
為人謀而不忠乎	ww[dl rf[pd mz[yg er[ek bu[eu vs[vx hu[pb
為仁由己	ww[dl rf[re yz[ou ji[kv
唯仁者能好人	ww[kv rf[re ve[to ng[sb hc[nz rf[pd
未入於室也	ww[ha ru[pd yu[eu ui[gh ye[vu
未若貧而樂	ww[ha ro[cu pb[fb er[ek le[px
未善也	ww[ha uj[yk ye[vu
唯上知與下愚不移	ww[kv uh[bh vi[uk yu[hv xx[hb yu[ox bu[eu yi[hx
