阿巴卡韋	aa[ek ba[ku ka[ub ww[hh
錫類散	xi[jo lw[md sj[gw
昔利	xi[go li[hd
西利賓胺片	xi[hk li[hd bb[gq an[og pm[pu
西立伐他汀	xi[hk li[lh fa[rg ta[ry tk[dd
喜力特	xi[uk li[vp te[nt
西力欣	xi[hk li[vp xb[jd
喜遼妥	xi[uk ln[lz to[an
西羚	xi[hk lk[yr
西羚丹	xi[hk lk[yr dj[kw
西羚丹丸	xi[hk lk[yr dj[kw wj[jd
西羚解毒	xi[hk lk[yr jp[dd du[fm
西羚解毒丸	xi[hk lk[yr jp[dd du[fm wj[jd
犀羚解毒丸	xi[uu lk[yr jp[dd du[fm wj[jd
西羚片	xi[hk lk[yr pm[pu
西羚丸	xi[hk lk[yr wj[jd
希路信	xi[iu lu[zw xb[ry
希羅達	xi[iu lo[sx da[dz
希羅達片	xi[iu lo[sx da[dz pm[pu
喜絡明	xi[uk lo[sw mk[oo
西羅莫司	xi[hk lo[sx mo[co si[vh
西羅莫司口服溶液	xi[hk lo[sx mo[co si[vh kz[uv fu[oe rs[dx ye[dw
西羅莫司口服液	xi[hk lo[sx mo[co si[vh kz[uv fu[oe ye[dw
西洛他唑	xi[hk lo[dw ta[ry zo[kr
西洛他唑膠囊	xi[hk lo[dw ta[ry zo[kr jn[ol nh[hk
西洛他唑片	xi[hk lo[dw ta[ry zo[kr pm[pu
西洛偉	xi[hk lo[dw ww[rw
稀氯己定溶液	xi[hi lv[qx ji[kv dk[gp rs[dx ye[dw
喜馬拉雅紫茉莉	xi[uk ma[vv la[fl ya[yv zi[vy mo[ch li[ch
西瑪三嗪	xi[hk ma[wm sj[hh qb[ks
西曼欣	xi[hk mj[os xb[jd
悉美	xi[px mw[bw
希美納	xi[iu mw[bw na[sk
希美欣	xi[iu mw[bw xb[jd
西門木炔酸	xi[hk mf[du mu[ub qt[hv sr[ys
西米啡	xi[hk mi[ba fw[kf
希米靈	xi[iu mi[ba lk[xh
西米特	xi[hk mi[ba te[nt
西咪替丁	xi[hk mi[km ti[eo dk[hu
西咪替丁緩釋片	xi[hk mi[km ti[eo dk[hu hr[sa ui[py pm[pu
西咪替丁膠囊	xi[hk mi[km ti[eo dk[hu jn[ol nh[hk
西咪替丁咀嚼片	xi[hk mi[km ti[eo dk[hu ju[kq jt[ka pm[pu
西咪替丁口服乳	xi[hk mi[km ti[eo dk[hu kz[uv fu[oe ru[av
西咪替丁口服液	xi[hk mi[km ti[eo dk[hu kz[uv fu[oe ye[dw
西咪替丁氯化鈉	xi[hk mi[km ti[eo dk[hu lv[qx hx[rq na[jk
西咪替丁氯化鈉注射液	xi[hk mi[km ti[eo dk[hu lv[qx hx[rq na[jk vu[dd ue[uc ye[dw
西咪替丁片	xi[hk mi[km ti[eo dk[hu pm[pu
西咪替丁注射液	xi[hk mi[km ti[eo dk[hu vu[dd ue[uc ye[dw
西米替丁注射液	xi[hk mi[ba ti[eo dk[hu vu[dd ue[uc ye[dw
悉敏	xi[px mb[rw
希明婷	xi[iu mk[oo tk[nw
希明婷片	xi[iu mk[oo tk[nw pm[pu
西莫納爾繫帶	xi[hk mo[co na[sk er[dx ji[py dd[cj
西那利定	xi[hk na[ve li[hd dk[gp
昔萘甲酸沙美特羅	xi[go nd[cd jx[ou sr[ys ua[dx mw[bw te[nt lo[sx
昔萘酸沙美啡羅	xi[go nd[cd sr[ys ua[dx mw[bw fw[kf lo[sx
昔萘酸沙美啡羅氣霧劑	xi[go nd[cd sr[ys ua[dx mw[bw fw[kf lo[sx qi[rh wu[yw ji[wd
昔萘酸沙美特羅	xi[go nd[cd sr[ys ua[dx mw[bw te[nt lo[sx
昔萘酸沙美特羅氣霧劑	xi[go nd[cd sr[ys ua[dx mw[bw te[nt lo[sx qi[rh wu[yw ji[wd
昔萘酸沙星特羅	xi[go nd[cd sr[ys ua[dx xk[op te[nt lo[sx
烯腦苷脂	xi[hi nc[ow gj[cg vi[ob
膝內翻	xi[oa nw[kr fj[px
希能	xi[iu ng[sb
悉能	xi[px ng[sb
吸能反應	xi[kj ng[sb fj[py yk[gx
西尼地平	xi[hk ni[ub di[ty pk[hb
西尼地平膠囊	xi[hk ni[ub di[ty pk[hb jn[ol nh[hk
西尼地平片	xi[hk ni[ub di[ty pk[hb pm[pu
西尼二胺	xi[hk ni[ub er[hh an[og
喜寧	xi[uk nk[gd
息寧	xi[zx nk[gd
西諾寧	xi[hk no[yc nk[gd
西帕依固齦	xi[hk pa[jb yi[ry gu[wg yb[vg
西帕依固齦液	xi[hk pa[jb yi[ry gu[wg yb[vg ye[dw
西帕依麥孜彼子膠囊	xi[hk pa[jb yi[ry md[fw zi[zw bi[rp zi[lh jn[ol nh[hk
西帕依麥孜彼子口服液	xi[hk pa[jb yi[ry md[fw zi[zw bi[rp zi[lh kz[uv fu[oe ye[dw
希普克定	xi[iu pu[bo ke[ge dk[gp
西普樂	xi[hk pu[bo le[px
喜普妙	xi[uk pu[bo mn[nx
稀葡萄糖酸氯已定溶液	xi[hi pu[cb tc[cb th[mg sr[ys lv[qx yi[kv dk[gp rs[dx ye[dw
希普欣	xi[iu pu[bo xb[jd
吸器	xi[kj qi[kq
硒杞補肝	xi[ex qi[ak bu[yb gj[og
硒杞補肝口服液	xi[ex qi[ak bu[yb gj[og kz[uv fu[oe ye[dw
吸氣活瓣	xi[kj qi[rh ho[dq bj[lp
吸氣末暫停	xi[kj qi[rh mo[ha zj[io tk[rw
吸氣末正壓	xi[kj qi[rh mo[ha vg[hv ya[it
吸氣驅動壓	xi[kj qi[rh qu[mk ds[el ya[it
西其汀	xi[hk qi[cb tk[dd
西羌	xi[hk ql[yv
析清	xi[aj qk[df
西青果	xi[hk qk[fo go[oa
膝屈曲畸形	xi[oa qu[ui qu[ou ji[td xk[kp
西曲溴銨	xi[hk qu[ou xq[dz an[jg
息熱痛注射液	xi[zx re[fd ts[bs vu[dd ue[uc ye[dw
吸入肺部的製劑	xi[kj ru[pd fw[oh bu[le de[bb vi[nd ji[wd
吸入粉霧劑	xi[kj ru[pd ff[mf wu[yw ji[wd
吸入劑	xi[kj ru[pd ji[wd
吸入麻醉	xi[kj ru[pd ma[ga zv[yw
吸入麻醉藥	xi[kj ru[pd ma[ga zv[yw yc[cs
吸入噴霧劑	xi[kj ru[pd pf[ku wu[yw ji[wd
吸入氣霧劑	xi[kj ru[pd qi[rh wu[yw ji[wd
吸入溶液劑	xi[kj ru[pd rs[dx ye[dw ji[wd
吸入氧比例	xi[kj ru[pd yh[qy bi[bb li[rh
吸入用布地奈德混懸液	xi[kj ru[pd ys[ou bu[uj di[ty nd[de de[ru hy[do xr[qx ye[dw
吸入用硫酸沙丁胺醇溶液	xi[kj ru[pd ys[ou lq[ew sr[ys ua[dx dk[hu an[og iy[yw rs[dx ye[dw
吸入用七氟烷	xi[kj ru[pd ys[ou qi[hv fu[qf wj[hg
吸入用色甘酸鈉	xi[kj ru[pd ys[ou se[db gj[nh sr[ys na[jk
吸入用色甘酸鈉膠囊	xi[kj ru[pd ys[ou se[db gj[nh sr[ys na[jk jn[ol nh[hk
吸入用異丙託溴銨溶液	xi[kj ru[pd ys[ou yi[kc bk[hk to[fp xq[dz an[jg rs[dx ye[dw
西沙必利	xi[hk ua[dx bi[xp li[hd
西沙必利膠囊	xi[hk ua[dx bi[xp li[hd jn[ol nh[hk
西沙必利片	xi[hk ua[dx bi[xp li[hd pm[pu
西沙比利片	xi[hk ua[dx bi[bb li[hd pm[pu
喜山鬣蜥	xi[uk uj[uk lp[iv xi[ia
息傷樂	xi[zx uh[rr le[px
息傷樂酊	xi[zx uh[rr le[px dk[yd
錫生藤鹼	xi[jo ug[pf tg[co jm[ew
稀釋劑	xi[hi ui[py ji[wd
稀釋舊結核菌素	xi[hi ui[py jq[uo jp[su he[aw jy[cw su[fy
吸收	xi[kj uz[vw
吸收促進劑	xi[kj uz[vw cu[rz jb[ez ji[wd
吸收劑	xi[kj uz[vw ji[wd
吸收譜胞吞	xi[kj uz[vw pu[yb bc[ob ty[tk
吸收完畢狀態	xi[kj uz[vw wj[ge bi[bu vl[dq td[dx
吸收性明膠海綿	xi[kj uz[vw xk[xp mk[oo jn[ol hd[dr mm[sb
吸收性氧化纖維素	xi[kj uz[vw xk[xp yh[qy hx[rq xm[sq ww[sv su[fy
吸收性氧化纖維素止血	xi[kj uz[vw xk[xp yh[qy hx[rq xm[sq ww[sv su[fy vi[uh xt[pm
吸收障礙	xi[kj uz[vw vh[el ai[eo
吸收組織滲出液	xi[kj uz[vw zu[sq vi[sk uf[ds iu[ck ye[dw
昔舒	xi[go uu[ry
喜樹次鹼	xi[uk uu[ay ci[dd jm[ew
喜樹鹼	xi[uk uu[ay jm[ew
喜樹鹼軟膏	xi[uk uu[ay jm[ew rr[id gc[wk
希舒美	xi[iu uu[ry mw[bw
喜水植物	xi[uk uv[uu vi[au wu[nb
吸吮動作	xi[kj uy[ks ds[el zo[rv
吸吮反射	xi[kj uy[ks fj[py ue[uc
細絲蛋白	xi[st si[sh dj[pi bd[po
希司咯定	xi[iu si[vh ge[kw dk[gp
細絲弓矯治器	xi[st si[sh gs[kv jn[up vi[ds qi[kq
息斯敏	xi[zx si[qj mb[rw
細絲鉗	xi[st si[sh qm[jg
西司他丁鈉	xi[hk si[vh ta[ry dk[hu na[jk
喜素	xi[uk su[fy
西索黴素	xi[hk so[uy mw[yr su[fy
西索黴素注射液	xi[hk so[uy mw[yr su[fy vu[dd ue[uc ye[dw
西索米星	xi[hk so[uy mi[ba xk[op
西索米星注射液	xi[hk so[uy mi[ba xk[op vu[dd ue[uc ye[dw
西酞普蘭	xi[hk td[yd pu[bo lj[bs
矽碳銀	xi[ex tj[eu yb[jg
西特斯日欽鹼	xi[hk te[nt si[qj ri[wh qb[jd jm[ew
西替利嗪	xi[hk ti[eo li[hd qb[ks
西替利嗪片	xi[hk ti[eo li[hd qb[ks pm[pu
西替偽麻緩釋片	xi[hk ti[eo ww[rd ma[ga hr[sa ui[py pm[pu
豨桐	xi[[ ts[ak
系統發生樹	xi[py ts[sw fa[vy ug[pf uu[ay
系統發育	xi[py ts[sw fa[vy yu[wo
豨桐膠囊	xi[[ ts[ak jn[ol nh[hk
息痛片	xi[zx ts[bs pm[pu
豨桐丸	xi[[ ts[ak wj[jd
系統性紅斑狼瘡	xi[py ts[sw xk[xp hs[sg bj[ww lh[ql il[br
蜥臀目	xi[ia ty[uo mu[we
洗脫劑	xi[dn to[ob ji[wd
洗脫體積	xi[dn to[ob ti[ra ji[hk
西託肟	xi[hk to[fp wo[oh
洗脫物	xi[dn to[ob wu[nb
西妥昔單抗	xi[hk to[an xi[go dj[bo kh[fw
洗脫液	xi[dn to[ob ye[dw
吸唾液器	xi[kj to[ki ye[dw qi[kq
希瓦丁	xi[iu wa[hv dk[hu
膝外翻	xi[oa wd[xb fj[px
西維爾	xi[hk ww[sv er[dx
稀戊二醛溶液	xi[hi wu[iv er[hh qr[yc rs[dx ye[dw
豨薟	xi[[ xm[cr
烯酰	xi[hi xm[yn
豨薟草	xi[[ xm[cr cc[co
豨薟風溼	xi[[ xm[cr fg[ji ui[do
豨薟風溼片	xi[[ xm[cr fg[ji ui[do pm[pu
豨薟風溼丸	xi[[ xm[cr fg[ji ui[do wj[jd
貕薟風溼丸	xi[[ xm[cr fg[ji ui[do wj[jd
豨薟片	xi[[ xm[cr pm[pu
吸涎器	xi[kj xm[dp qi[kq
豨薟通絡液	xi[[ xm[cr ts[sz lo[sw ye[dw
豨薟通栓	xi[[ xm[cr ts[sz ur[ar
豨薟通栓膠囊	xi[[ xm[cr ts[sz ur[ar jn[ol nh[hk
豨薟通栓丸	xi[[ xm[cr ts[sz ur[ar wj[jd
豯薟通栓丸	xi[[ xm[cr ts[sz ur[ar wj[jd
豨薟丸	xi[[ xm[cr wj[jd
豨薟液	xi[[ xm[cr ye[dw
洗消車輛	xi[dn xn[dx ie[qu ll[ih
洗消淨	xi[dn xn[dx jk[dd
洗消器	xi[dn xn[dx qi[kq
細小主動脈根	xi[st xn[ub vu[dw ds[el md[od gf[ag
悉欣	xi[px xb[jd
細辛	xi[st xb[lu
細辛腦	xi[st xb[lu nc[ow
細辛腦膠囊	xi[st xb[lu nc[ow jn[ol nh[hk
細辛腦氯化鈉注射液	xi[st xb[lu nc[ow lv[qx hx[rq na[jk vu[dd ue[uc ye[dw
細辛腦片	xi[st xb[lu nc[ow pm[pu
細辛腦注射液	xi[st xb[lu nc[ow vu[dd ue[uc ye[dw
喜心生	xi[uk xb[dv ug[pf
喜欣舒	xi[uk xb[jd uu[ry
習性	xi[vd xk[xp
吸菸斑	xi[kj yj[hw bj[ww
喜炎平	xi[uk yj[hh pk[hb
喜炎平注射液	xi[uk yj[hh pk[hb vu[dd ue[uc ye[dw
稀鹽酸	xi[hi yj[tm sr[ys
稀鹽酸溶液	xi[hi yj[tm sr[ys rs[dx ye[dw
吸菸性黑斑	xi[kj yj[hw xk[xp hw[sd bj[ww
吸菸者面容	xi[kj yj[hw ve[to mm[ew rs[xr
西洋參	xi[hk yh[dy uf[sd
西洋參含片	xi[hk yh[dy uf[sd hj[rk pm[pu
西洋參花粉口服液	xi[hk yh[dy uf[sd hx[cr ff[mf kz[uv fu[oe ye[dw
西洋參黃芪	xi[hk yh[dy uf[sd hl[gy qi[cu
西洋參黃芪膠囊	xi[hk yh[dy uf[sd hl[gy qi[cu jn[ol nh[hk
西洋參膠囊	xi[hk yh[dy uf[sd jn[ol nh[hk
西洋參金錢龜	xi[hk yh[dy uf[sd jb[rw qm[jj gv[do
西洋參金錢龜口服液	xi[hk yh[dy uf[sd jb[rw qm[jj gv[do kz[uv fu[oe ye[dw
西洋參莖葉總皁苷	xi[hk yh[dy uf[sd jk[cs ye[ku zs[bx zc[bq gj[cg
西洋參顆粒	xi[hk yh[dy uf[sd ke[oy li[ml
西洋參蜜煉川貝枇杷	xi[hk yh[dy uf[sd mi[gi lm[hq ir[pu bw[kr pi[ab pa[ab
西洋參蜜煉川貝枇杷膏	xi[hk yh[dy uf[sd mi[gi lm[hq ir[pu bw[kr pi[ab pa[ab gc[wk
稀乙醇	xi[hi yi[vv iy[yw
蜥蜴狀髖部	xi[ia yi[io vl[dq kr[gg bu[le
息隱片	xi[zx yb[ed pm[pu
稀有氨基酸	xi[hi yz[uo an[qg ji[qt sr[ys
希優洛	xi[iu yz[ry lo[dw
西園喉藥	xi[hk yr[we hz[kr yc[cs
西園喉藥散	xi[hk yr[we hz[kr yc[cs sj[gw
西園喉藥散噴劑	xi[hk yr[we hz[kr yc[cs sj[gw pf[ku ji[wd
西樂葆	xi[hk yt[px bc[cr
西樂欣	xi[hk yt[px xb[jd
息韻	xi[zx yy[lb
西藏龍膽鹼	xi[hk zh[cw ls[yp dj[oo jm[ew
吸脹作用	xi[kj vh[oi zo[rv ys[ou
吸著劑	xi[kj ve[ym ji[wd
細針抽吸活檢	xi[st vf[ju iz[fy xi[kj ho[dq jm[ar
西之達	xi[hk vi[dv da[dz
豨蛭絡達	xi[[ vi[ih lo[sw da[dz
豨蛭絡達膠囊	xi[[ vi[ih lo[sw da[dz jn[ol nh[hk
膝狀節神經痛	xi[oa vl[dq jp[ce uf[uo jk[ss ts[bs
螅狀幼體	xi[iz vl[dq yz[yl ti[ra
喜字阿膠	xi[uk zi[gz ee[ek jn[ol
下孢囊	xx[hb bc[zb nh[hk
夏孢子堆	xx[ew bc[zb zi[lh dv[tv
下層液	xx[hb cg[ue ye[dw
狹翅	xx[qj ii[ux
下脣線	xx[hb iy[ik xm[sj
下脣正中裂	xx[hb iy[ik vg[hv vs[ku lp[hy
下蕃錠	xx[hb fj[cp dk[jg
下頜角點	xx[hb he[ry jn[do dm[bd
下頜隆凸	xx[hb he[ry ls[ew tu[uh
下頜前突	xx[hb he[ry qm[bo tu[xq
下頜切跡	xx[hb he[ry qp[qd ji[yz
下頜韌帶	xx[hb he[ry rf[wd dd[cj
下頜神經阻滯麻醉	xx[hb he[ry uf[uo jk[ss zu[eq vi[dc ma[ga zv[yw
下頜升支側位體層片	xx[hb he[ry ug[pc vi[uy ce[rb ww[rl ti[ra cg[ue pm[pu
下頜體	xx[hb he[ry ti[ra
下頜突	xx[hb he[ry tu[xq
下頜位	xx[hb he[ry ww[rl
下頜息止位	xx[hb he[ry xi[zx vi[uh ww[rl
下頜牙槽座點	xx[hb he[ry ya[hv cc[ah zo[gr dm[bd
下頜運動複製器	xx[hb he[ry yy[ez ds[el fu[ro vi[nd qi[kq
下頜支支架種植體	xx[hb he[ry vi[uy vi[uy jx[la vs[hv vi[au ti[ra
下頜中切牙切緣點	xx[hb he[ry vs[ku qp[qd ya[hv qp[qd yr[sv dm[bd
夏季瘙癢	xx[ew ji[hz sc[by yh[by
下瞼袋	xx[hb jm[mr dd[ry
夏枯草	xx[ew ku[ag cc[co
夏枯草膏	xx[ew ku[ag cc[co gc[wk
夏枯草膠囊	xx[ew ku[ag cc[co jn[ol nh[hk
夏枯草顆粒	xx[ew ku[ag cc[co ke[oy li[ml
夏枯草口服液	xx[ew ku[ag cc[co kz[uv fu[oe ye[dw
夏枯球	xx[ew ku[ag qq[wh
下利清谷	xx[hb li[hd qk[df gu[bk
遐齡	xx[kz lk[vr
遐齡顆粒	xx[kz lk[vr ke[oy li[ml
夏卵	xx[ew lr[pe
夏佩纖維	xx[ew pw[rj xm[sq ww[sv
下胚軸	xx[hb pw[ob vz[iy
下皮細胞	xx[hb pi[vp xi[st bc[ob
夏皮纖維	xx[ew pi[vp xm[sq ww[sv
下腔靜脈瓣	xx[hb ql[ox jk[fd md[od bj[lp
下丘臂	xx[hb qq[jh bi[uo
下丘腦促垂體激素	xx[hb qq[jh nc[ow cu[rz iv[ph ti[ra ji[db su[fy
下丘腦激素	xx[hb qq[jh nc[ow ji[db su[fy
下丘腦釋放激素	xx[hb qq[jh nc[ow ui[py fh[fw ji[db su[fy
下丘腦釋放因子	xx[hb qq[jh nc[ow ui[py fh[fw yb[wd zi[lh
下乳湧泉	xx[hb ru[av ys[ds qr[bu
下乳湧泉散	xx[hb ru[av ys[ds qr[bu sj[gw
夏桑菊	xx[ew sh[ya ju[cb
夏桑菊顆粒	xx[ew sh[ya ju[cb ke[oy li[ml
夏桑菊口服液	xx[ew sh[ya ju[cb kz[uv fu[oe ye[dw
霞天曲	xx[yk tm[hd qu[ou
夏天無	xx[ew tm[hd wu[ee
夏天無滴眼液	xx[ew tm[hd wu[ee di[dl yj[mg ye[dw
夏天無膠囊	xx[ew tm[hd wu[ee jn[ol nh[hk
夏天無片	xx[ew tm[hd wu[ee pm[pu
夏天無注射液	xx[ew tm[hd wu[ee vu[dd ue[uc ye[dw
下位基因	xx[hb ww[rl ji[qt yb[wd
狹溫性	xx[qj wf[do xk[xp
下消	xx[hb xn[dx
下效基因	xx[hb xn[lw ji[qt yb[wd
下消丸	xx[hb xn[dx wj[jd
下斜曲線	xx[hb xp[rd qu[ou xm[sj
下行層析	xx[hb xk[rh cg[ue xi[aj
狹葉紅景天	xx[qj ye[ku hs[sg jk[ow tm[hd
下游序列	xx[hb yz[df xu[gy lp[hd
夏蟄	xx[ew ve[fi
下肢不等長	xx[hb vi[ou bu[eu dg[vt ih[ph
夏至草	xx[ew vi[ht cc[co
夏至草素	xx[ew vi[ht cc[co su[fy
酰胺化肽酰胺脒	xm[yn an[og hx[rq td[od xm[yn an[og mi[om
酰氨基	xm[yn an[qg ji[qt
酰胺鍵	xm[yn an[og jm[jy
酰胺鍵胺黴素	xm[yn an[og jm[jy an[og mw[yr su[fy
酰胺酶	xm[yn an[og mw[yr
酰胺松	xm[yn an[og ss[ab
先倍領	xm[ne bw[rl lk[ry
先必先	xm[ne bi[xp xm[ne
莧菜紅	xm[cj cd[ca hs[sg
莧菜紅鋁色澱	xm[cj cd[ca hs[sg lv[jk se[db dm[dg
莧菜黃連素	xm[cj cd[ca hl[gy lm[iz su[fy
仙參口服液	xm[ru cj[sd kz[uv fu[oe ye[dw
仙蟾	xm[ru ij[id
仙蟾片	xm[ru ij[id pm[pu
先辰	xm[ne if[ie
先成論	xm[ne ig[wv ly[yr
線蟲類	xm[sj is[ks lw[md
先出葉	xm[ne iu[ck ye[ku
腺垂體	xm[ob iv[ph ti[ra
限雌遺傳	xm[eg ci[vv yi[vz ir[re
顯帶	xm[oy dd[cj
現代藥劑學	xm[wj dd[rq yc[cs ji[wd xt[xz
現代藥物製劑	xm[wj dd[rq yc[cs wu[nb vi[nd ji[wd
現代藥物製劑技術	xm[wj dd[rq yc[cs wu[nb vi[nd ji[wd ji[fu uu[ad
先導化合物	xm[ne dc[kc hx[rq he[rh wu[nb
先導鏈	xm[ne dc[kc lm[ji
先定	xm[ne dk[gp
仙蛾酒	xm[ru ee[ip jq[dy
顯爾抗	xm[oy er[dx kh[fw
仙方活命片	xm[ru fh[dw ho[dq mk[rh pm[pu
仙方活命飲	xm[ru fh[dw ho[dq mk[rh yb[ud
先鋒必	xm[ne fg[jw bi[xp
仙逢久	xm[ru fg[wz jq[xd
先鋒美他醇	xm[ne fg[jw mw[bw ta[ry iy[yw
先鋒植物	xm[ne fg[jw vi[au wu[nb
先父遺傳	xm[ne fu[bi yi[vz ir[re
腺苷	xm[ob gj[cg
腺苷蛋氨酸	xm[ob gj[cg dj[pi an[qg sr[ys
腺苷二磷酸	xm[ob gj[cg er[hh lb[em sr[ys
腺苷二磷酸葡糖	xm[ob gj[cg er[hh lb[em sr[ys pu[cb th[mg
腺苷二醛	xm[ob gj[cg er[hh qr[yc
腺苷鈷胺	xm[ob gj[cg gu[jg an[og
腺苷鈷胺片	xm[ob gj[cg gu[jg an[og pm[pu
腺苷基	xm[ob gj[cg ji[qt
腺苷激酶	xm[ob gj[cg ji[db mw[yr
腺苷甲硫氨酸	xm[ob gj[cg jx[ou lq[ew an[qg sr[ys
腺苷甲硫氨酸脫羧酶	xm[ob gj[cg jx[ou lq[ew an[qg sr[ys to[ob so[ys mw[yr
腺苷酶	xm[ob gj[cg mw[yr
腺苷三磷酸	xm[ob gj[cg sj[hh lb[em sr[ys
腺苷三磷酸酶	xm[ob gj[cg sj[hh lb[em sr[ys mw[yr
腺苷酸	xm[ob gj[cg sr[ys
腺苷酸環化酶	xm[ob gj[cg sr[ys hr[wb hx[rq mw[yr
腺苷酸基琥珀酸	xm[ob gj[cg sr[ys ji[qt hu[wh po[wb sr[ys
腺苷酸激酶	xm[ob gj[cg sr[ys ji[db mw[yr
腺苷酸能荷	xm[ob gj[cg sr[ys ng[sb he[cr
腺苷酸脫氨酶	xm[ob gj[cg sr[ys to[ob an[qg mw[yr
腺苷酸鹽	xm[ob gj[cg sr[ys yj[tm
腺苷酰蟲螢光素	xm[ob gj[cg xm[yn is[ks yk[ci gl[xe su[fy
腺苷酰氧化蟲螢光素	xm[ob gj[cg xm[yn yh[qy hx[rq is[ks yk[ci gl[xe su[fy
腺苷注射液	xm[ob gj[cg vu[dd ue[uc ye[dw
腺苷注射液供診斷用	xm[ob gj[cg vu[dd ue[uc ye[dw gs[rg vf[yr dr[mj ys[ou
蘚綱	xm[cy gh[sk
仙骨參芪口服液	xm[ru gu[ko uf[sd qi[cu kz[uv fu[oe ye[dw
涎管	xm[dp gr[vg
涎管狹窄	xm[dp gr[vg xx[qj vd[xv
仙桂膠囊	xm[ru gv[at jn[ol nh[hk
仙鶴	xm[ru he[gn
仙鶴草	xm[ru he[gn cc[co
仙鶴草素	xm[ru he[gn cc[co su[fy
先合成鏈	xm[ne he[rh ig[wv lm[ji
仙鶴膠囊	xm[ru he[gn jn[ol nh[hk
先宏	xm[ne hs[gu
獮猴桃顆粒	xm[qd hz[qr tc[av ke[oy li[ml
酰化	xm[yn hx[rq
酰化作用	xm[yn hx[rq zo[rv ys[ou
仙藿補腎	xm[ru ho[cy bu[yb uf[uo
仙藿補腎口服液	xm[ru ho[cy bu[yb uf[uo kz[uv fu[oe ye[dw
酰基	xm[yn ji[qt
仙戟補腎	xm[ru ji[ug bu[yb uf[uo
仙戟補腎膠囊	xm[ru ji[ug bu[yb uf[uo jn[ol nh[hk
腺棘皮瘤	xm[ob ji[cc pi[vp lq[bp
酰基載體蛋白	xm[yn ji[qt zd[ti ti[ra dj[pi bd[po
酰基轉移酶	xm[yn ji[qt vr[ie yi[hx mw[yr
先捷	xm[ne jp[fh
銜接頭	xm[rj jp[fl tz[dd
銜接易位	xm[rj jp[fl yi[ob ww[rl
線聚血纖維蛋白	xm[sj ju[ep xt[pm xm[sq ww[sv dj[pi bd[po
先抗	xm[ne kh[fw
顯克欣	xm[oy ke[ge xb[jd
先奎沙	xm[ne kv[dt ua[dx
先樂克	xm[ne le[px ke[ge
仙立	xm[ru li[lh
仙藜口服液	xm[ru li[ch kz[uv fu[oe ye[dw
先力諾	xm[ne li[vp no[yc
仙利特	xm[ru li[hd te[nt
線粒體	xm[sj li[ml ti[ra
線粒體核糖體	xm[sj li[ml ti[ra he[aw th[mg ti[ra
線粒體嵴	xm[sj li[ml ti[ra ji[uu
線粒體遺傳	xm[sj li[ml ti[ra yi[vz ir[re
纖連蛋白	xm[sq lm[iz dj[pi bd[po
仙林	xm[ru lb[aa
腺淋巴瘤	xm[ob lb[da ba[ku lq[bp
仙靈地黃補腎顆粒	xm[ru lk[xh di[ty hl[gy bu[yb uf[uo ke[oy li[ml
仙靈骨葆	xm[ru lk[xh gu[ko bc[cr
仙靈骨葆膠囊	xm[ru lk[xh gu[ko bc[cr jn[ol nh[hk
仙靈骨葆片	xm[ru lk[xh gu[ko bc[cr pm[pu
仙靈脾	xm[ru lk[xh pi[ob
仙靈脾酒	xm[ru lk[xh pi[ob jq[dy
仙靈脾顆粒	xm[ru lk[xh pi[ob ke[oy li[ml
仙靈脾片	xm[ru lk[xh pi[ob pm[pu
腺瘤	xm[ob lq[bp
酰滷	xm[yn lu[bw
仙鹿	xm[ru lu[gb
仙璐貝	xm[ru lu[wz bw[kr
仙璐貝滴劑	xm[ru lu[wz bw[kr di[dl ji[wd
仙鹿補酒	xm[ru lu[gb bu[yb jq[dy
仙鹿口服液	xm[ru lu[gb kz[uv fu[oe ye[dw
仙茅	xm[ru mc[cy
纖毛	xm[sq mc[sv
纖毛蟲綱	xm[sq mc[sv is[ks gh[sk
纖毛冠	xm[sq mc[sv gr[ge
纖毛環	xm[sq mc[sv hr[wb
纖毛抗原	xm[sq mc[sv kh[fw yr[ib
纖毛上皮	xm[sq mc[sv uh[bh pi[vp
腺嘧啶脫氧核	xm[ob mi[kg dk[kg to[ob yh[qy he[aw
先妮	xm[ne ni[nu
先寧	xm[ne nk[gd
腺嘌呤	xm[ob pn[kx lk[kr
腺嘌呤核苷	xm[ob pn[kx lk[kr he[aw gj[cg
腺嘌呤核苷基	xm[ob pn[kx lk[kr he[aw gj[cg ji[qt
腺嘌呤核苷酸基	xm[ob pn[kx lk[kr he[aw gj[cg sr[ys ji[qt
腺嘌呤核苷酰基	xm[ob pn[kx lk[kr he[aw gj[cg xm[yn ji[qt
腺嘌呤基	xm[ob pn[kx lk[kr ji[qt
腺嘌呤轉磷酸核糖基轉移酶	xm[ob pn[kx lk[kr vr[ie lb[em sr[ys he[aw th[mg ji[qt vr[ie yi[hx mw[yr
先普	xm[ne pu[bo
仙芪眩寧顆粒	xm[ru qi[cu xr[mw nk[gd ke[oy li[ml
先強	xm[ne ql[gk
先強嚴靈	xm[ne ql[gk yj[hy lk[xh
先嗪	xm[ne qb[ks
仙人掌胃康	xm[ru rf[pd vh[xf ww[to kh[gx
仙人掌胃康膠囊	xm[ru rf[pd vh[xf ww[to kh[gx jn[ol nh[hk
仙人掌甾醇	xm[ru rf[pd vh[xf zd[vt iy[yw
腺溶分泌	xm[ob rs[dx ff[bd mi[dx
