阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
平桂區	pk[hb gv[at qu[ki
平果市	pk[hb go[oa ui[wj
平和縣	pk[hb he[hk xm[qs
平湖市	pk[hb hu[dg ui[wj
平江縣	pk[hb jl[dg xm[qs
平樂縣	pk[hb le[px xm[qs
平利縣	pk[hb li[hd xm[qs
平涼市	pk[hb ll[dw ui[wj
平魯區	pk[hb lu[yo qu[ki
平陸縣	pk[hb lu[ef xm[qs
平羅縣	pk[hb lo[sx xm[qs
屏南縣	pk[ub nj[uk xm[qs
平南縣	pk[hb nj[uk xm[qs
平橋區	pk[hb qn[ap qu[ki
平泉市	pk[hb qr[bu ui[wj
坪山區	pk[tp uj[uk qu[ki
平山區	pk[hb uj[uk qu[ki
屏山縣	pk[ub uj[uk xm[qs
平山縣	pk[hb uj[uk xm[qs
平順縣	pk[hb uy[iy xm[qs
平潭縣	pk[hb tj[dx xm[qs
平塘縣	pk[hb th[tg xm[qs
平武縣	pk[hb wu[hv xm[qs
憑祥市	pk[rj xl[uy ui[wj
萍鄉市	pk[cd xl[sp ui[wj
平鄉縣	pk[hb xl[sp xm[qs
平陽縣	pk[hb yh[eo xm[qs
平遙縣	pk[hb yc[az xm[qs
平邑縣	pk[hb yi[kb xm[qs
平陰縣	pk[hb yb[eo xm[qs
平輿縣	pk[hb yu[pb xm[qs
平原縣	pk[hb yr[ib xm[qs
平遠縣	pk[hb yr[ez xm[qs
坡頭區	po[tp tz[dd qu[ki
鄱陽縣	po[pe yh[eo xm[qs
普安縣	pu[bo an[gn xm[qs
浦北縣	pu[df bw[ub xm[qs
浦城縣	pu[df ig[tw xm[qs
蒲城縣	pu[cd ig[tw xm[qs
普定縣	pu[bo dk[gp xm[qs
浦東新區	pu[df ds[qx xb[lj qu[ki
普洱市	pu[bo er[de ui[wj
普格縣	pu[bo ge[aw xm[qs
浦江縣	pu[df jl[dg xm[qs
蒲江縣	pu[cd jl[dg xm[qs
浦口區	pu[df kz[uv qu[ki
普蘭店區	pu[bo lj[bs dm[gb qu[ki
普蘭縣	pu[bo lj[bs xm[qs
普寧市	pu[bo nk[gd ui[wj
莆田市	pu[cf tm[wu ui[wj
普陀區	pu[bo to[eg qu[ki
蒲縣	pu[cd xm[qs
濮陽市	pu[dr yh[eo ui[wj
濮陽縣	pu[dr yh[eo xm[qs
淇濱區	qi[dq bb[dg qu[ki
蘄春縣	qi[cb iy[so xm[qs
啟東市	qi[hk ds[qx ui[wj
祁東縣	qi[ue ds[qx xm[qs
齊河縣	qi[wp he[dk xm[qs
綦江區	qi[qy jl[dg qu[ki
七里河區	qi[hv li[ot he[dk qu[ki
祁連縣	qi[ue lm[iz xm[qs
麒麟區	qi[gq lb[gm qu[ki
祁門縣	qi[ue mf[du xm[qs
齊齊哈爾市	qi[wp qi[wp ha[kr er[dx ui[wj
岐山縣	qi[uu uj[uk xm[qs
七臺河市	qi[hv td[sk he[dk ui[wj
奇臺縣	qi[dk td[sk xm[qs
棲霞區	qi[ax xx[yk qu[ki
棲霞市	qi[ax xx[yk ui[wj
杞縣	qi[ak xm[qs
淇縣	qi[dq xm[qs
祁縣	qi[ue xm[qs
七星關區	qi[hv xk[op gr[bt qu[ki
七星區	qi[hv xk[op qu[ki
祁陽縣	qi[ue yh[eo xm[qs
遷安市	qm[qz an[gn ui[wj
乾安縣	qm[ur an[gn xm[qs
黔東南苗族侗族自治州	qm[hr ds[qx nj[uk mn[ct zu[fr ds[rk zu[fr zi[pm vi[ds vz[dp
前鋒區	qm[bo fg[jw qu[ki
前郭爾羅斯蒙古族自治縣	qm[bo go[we er[dx lo[sx si[qj mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
黔江區	qm[hr jl[dg qu[ki
潛江市	qm[de jl[dg ui[wj
前進區	qm[bo jb[ez qu[ki
黔南布依族苗族自治州	qm[hr nj[uk bu[uj yi[ry zu[fr mn[ct zu[fr zi[pm vi[ds vz[dp
千山區	qm[pu uj[uk qu[ki
潛山市	qm[de uj[uk ui[wj
犍為縣	qm[ny ww[dl xm[qs
黔西南布依族苗族自治州	qm[hr xi[hk nj[uk bu[uj yi[ry zu[fr mn[ct zu[fr zi[pm vi[ds vz[dp
遷西縣	qm[qz xi[hk xm[qs
黔西縣	qm[hr xi[hk xm[qs
乾縣	qm[ur xm[qs
千陽縣	qm[pu yh[eo xm[qs
譙城區	qn[yv ig[tw qu[ki
橋東區	qn[ap ds[qx qu[ki
巧家縣	qn[gk jx[gu xm[qs
礄口區	qn[ep kz[uv qu[ki
橋西區	qn[ap xi[hk qu[ki
且末縣	qp[ke mo[ha xm[qs
茄子河區	qp[cl zi[lh he[dk qu[ki
秦安縣	qb[sh an[gn xm[qs
欽北區	qb[jd bw[ub qu[ki
秦都區	qb[sh du[te qu[ki
秦淮區	qb[sh hk[dv qu[ki
秦皇島市	qb[sh hl[bw dc[nu ui[wj
欽南區	qb[jd nj[uk qu[ki
沁水縣	qb[dx uv[uu xm[qs
覃塘區	qb[xo th[tg qu[ki
沁縣	qb[dx xm[qs
沁陽市	qb[dx yh[eo ui[wj
沁源縣	qb[dx yr[di xm[qs
秦州區	qb[sh vz[dp qu[ki
欽州市	qb[jd vz[dp ui[wj
慶安縣	qk[gd an[gn xm[qs
青白江區	qk[fo bd[po jl[dg qu[ki
清城區	qk[df ig[tw qu[ki
慶城縣	qk[gd ig[tw xm[qs
青川縣	qk[fo ir[pu xm[qs
青島市	qk[fo dc[nu ui[wj
清豐縣	qk[df fg[su xm[qs
青岡縣	qk[fo gh[ki xm[qs
青海省	qk[fo hd[dr ug[xm
清河門區	qk[df he[dk mf[du qu[ki
清河區	qk[df he[dk qu[ki
清河縣	qk[df he[dk xm[qs
青河縣	qk[fo he[dk xm[qs
清澗縣	qk[df jm[dm xm[qs
清江浦區	qk[df jl[dg pu[df qu[ki
清流縣	qk[df lq[dw xm[qs
青龍滿族自治縣	qk[fo ls[yp mj[dc zu[fr zi[pm vi[ds xm[qs
晴隆縣	qk[of ls[ew xm[qs
青浦區	qk[fo pu[df qu[ki
青山湖區	qk[fo uj[uk hu[dg qu[ki
青山區	qk[fo uj[uk qu[ki
青神縣	qk[fo uf[uo xm[qs
清水河縣	qk[df uv[uu he[dk xm[qs
清水縣	qk[df uv[uu xm[qs
青田縣	qk[fo tm[wu xm[qs
青銅峽市	qk[fo ts[jk xx[uj ui[wj
青縣	qk[fo xm[qs
清新區	qk[df xb[lj qu[ki
青秀區	qk[fo xq[hn qu[ki
清徐縣	qk[df xu[rr xm[qs
青羊區	qk[fo yh[bs qu[ki
慶陽市	qk[gd yh[eo ui[wj
青陽縣	qk[fo yh[eo xm[qs
清原滿族自治縣	qk[df yr[ib mj[dc zu[fr zi[pm vi[ds xm[qs
清苑區	qk[df yr[cx qu[ki
青原區	qk[fo yr[ib qu[ki
清遠市	qk[df yr[ez ui[wj
慶元縣	qk[gd yr[ee xm[qs
青雲譜區	qk[fo yy[es pu[yb qu[ki
慶雲縣	qk[gd yy[es xm[qs
清鎮市	qk[df vf[ju ui[wj
青州市	qk[fo vz[dp ui[wj
瓊海市	qs[ww hd[dr ui[wj
瓊結縣	qs[ww jp[su xm[qs
邛崍市	qs[ge ld[ul ui[wj
瓊山區	qs[ww uj[uk qu[ki
瓊中黎族苗族自治縣	qs[ww vs[ku li[hr zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
丘北縣	qq[jh bw[ub xm[qs
邱縣	qq[qe xm[qs
曲阜市	qu[ou fu[pu ui[wj
曲江區	qu[ou jl[dg qu[ki
衢江區	qu[rm jl[dg qu[ki
曲靖市	qu[ou jk[lf ui[wj
曲麻萊縣	qu[ou ma[ga ld[cl xm[qs
曲水縣	qu[ou uv[uu xm[qs
曲松縣	qu[ou ss[ab xm[qs
曲沃縣	qu[ou wo[dp xm[qs
渠縣	qu[da xm[qs
曲陽縣	qu[ou yh[eo xm[qs
衢州市	qu[rm vz[dp ui[wj
曲周縣	qu[ou vz[kt xm[qs
泉港區	qr[bu gh[dg qu[ki
全椒縣	qr[rw jn[au xm[qs
全南縣	qr[rw nj[uk xm[qs
泉山區	qr[bu uj[uk qu[ki
泉州市	qr[bu vz[dp ui[wj
全州縣	qr[rw vz[dp xm[qs
確山縣	qt[ed uj[uk xm[qs
讓胡路區	rh[yu hu[go lu[zw qu[ki
壤塘縣	rh[tw th[tg xm[qs
饒河縣	rc[uq he[dk xm[qs
饒平縣	rc[uq pk[hb xm[qs
饒陽縣	rc[uq yh[eo xm[qs
仁布縣	rf[re bu[uj xm[qs
任城區	rf[rq ig[tw qu[ki
仁和區	rf[re he[hk qu[ki
仁化縣	rf[re hx[rq xm[qs
仁懷市	rf[re hk[xb ui[wj
任丘市	rf[rq qq[jh ui[wj
仁壽縣	rf[re uz[fc xm[qs
任澤區	rf[rq ze[dy qu[ki
日喀則市	ri[wh ka[kg ze[bd ui[wj
日土縣	ri[wh tu[uh xm[qs
日照市	ri[wh vc[od ui[wj
融安縣	rs[hi an[gn xm[qs
榮昌區	rs[ca ih[oo qu[ki
榕城區	rs[ax ig[tw qu[ki
榮成市	rs[ca ig[wv ui[wj
容城縣	rs[xr ig[tw xm[qs
榕江縣	rs[ax jl[dg xm[qs
融水苗族自治縣	rs[hi uv[uu mn[ct zu[fr zi[pm vi[ds xm[qs
容縣	rs[xr xm[qs
榮縣	rs[ca xm[qs
汝城縣	ru[dn ig[tw xm[qs
如東縣	ru[nk ds[qx xm[qs
如皋市	ru[nk gc[bd ui[wj
汝南縣	ru[dn nj[uk xm[qs
乳山市	ru[av uj[uk ui[wj
汝陽縣	ru[dn yh[eo xm[qs
乳源瑤族自治縣	ru[av yr[di yc[wa zu[fr zi[pm vi[ds xm[qs
汝州市	ru[dn vz[dp ui[wj
瑞安市	rv[wu an[gn ui[wj
瑞昌市	rv[wu ih[oo ui[wj
芮城縣	rv[ck ig[tw xm[qs
瑞金市	rv[wu jb[rw ui[wj
瑞麗市	rv[wu li[hk ui[wj
潤州區	ry[dm vz[dp qu[ki
若爾蓋縣	ro[cu er[dx gd[bm xm[qs
若羌縣	ro[cu ql[yv xm[qs
薩爾圖區	sa[ce er[dx tu[ww qu[ki
薩嘎縣	sa[ce ga[ke xm[qs
薩迦縣	sa[ce jx[lz xm[qs
賽罕區	sd[gb hj[gg qu[ki
三都水族自治縣	sj[hh du[te uv[uu zu[fr zi[pm vi[ds xm[qs
三河市	sj[hh he[dk ui[wj
三江侗族自治縣	sj[hh jl[dg ds[rk zu[fr zi[pm vi[ds xm[qs
三門峽市	sj[hh mf[du xx[uj ui[wj
三門縣	sj[hh mf[du xm[qs
三明市	sj[hh mk[oo ui[wj
三沙市	sj[hh ua[dx ui[wj
三水區	sj[hh uv[uu qu[ki
三穗縣	sj[hh sv[hh xm[qs
三臺縣	sj[hh td[sk xm[qs
三亞市	sj[hh ya[hy ui[wj
三元區	sj[hh yr[ee qu[ki
三原縣	sj[hh yr[ib xm[qs
桑日縣	sh[ya ri[wh xm[qs
桑植縣	sh[ya vi[au xm[qs
桑珠孜區	sh[ya vu[wp zi[zw qu[ki
色達縣	se[db da[dz xm[qs
色尼區	se[db ni[ub qu[ki
莎車縣	ua[cd ie[qu xm[qs
沙河口區	ua[dx he[dk kz[uv qu[ki
沙河市	ua[dx he[dk ui[wj
沙坪壩區	ua[dx pk[tp ba[tb qu[ki
沙坡頭區	ua[dx po[tp tz[dd qu[ki
沙市區	ua[dx ui[wj qu[ki
沙灣區	ua[dx wj[dy qu[ki
沙灣縣	ua[dx wj[dy xm[qs
沙縣	ua[dx xm[qs
沙雅縣	ua[dx ya[yv xm[qs
沙洋縣	ua[dx yh[dy xm[qs
沙依巴克區	ua[dx yi[ry ba[ku ke[ge qu[ki
山城區	uj[uk ig[tw qu[ki
山丹縣	uj[uk dj[kw xm[qs
山東省	uj[uk ds[qx ug[xm
山海關區	uj[uk hd[dr gr[bt qu[ki
山南市	uj[uk nj[uk ui[wj
鄯善縣	uj[ye uj[yk xm[qs
山亭區	uj[uk tk[wd qu[ki
汕頭市	uj[du tz[dd ui[wj
汕尾市	uj[du ww[um ui[wj
山西省	uj[uk xi[hk ug[xm
陝西省	uj[ej xi[hk ug[xm
單縣	uj[bo xm[qs
山陽區	uj[uk yh[eo qu[ki
山陽縣	uj[uk yh[eo xm[qs
山陰縣	uj[uk yb[eo xm[qs
陝州區	uj[ej vz[dp qu[ki
上蔡縣	uh[bh cd[cx xm[qs
上城區	uh[bh ig[tw qu[ki
商城縣	uh[lk ig[tw xm[qs
上黨區	uh[bh dh[xk qu[ki
商都縣	uh[lk du[te xm[qs
上高縣	uh[bh gc[wk xm[qs
上海市	uh[bh hd[dr ui[wj
上杭縣	uh[bh hh[aw xm[qs
商河縣	uh[lk he[dk xm[qs
上街區	uh[bh jp[rt qu[ki
上栗縣	uh[bh li[xa xm[qs
上林縣	uh[bh lb[aa xm[qs
商洛市	uh[lk lo[dw ui[wj
商南縣	uh[lk nj[uk xm[qs
商丘市	uh[lk qq[jh ui[wj
上饒市	uh[bh rc[uq ui[wj
商水縣	uh[lk uv[uu xm[qs
上思縣	uh[bh si[tx xm[qs
尚義縣	uh[xk yi[di xm[qs
上猶縣	uh[bh yz[qy xm[qs
上虞區	uh[bh yu[hk qu[ki
尚志市	uh[xk vi[ux ui[wj
商州區	uh[lk vz[dp qu[ki
邵東市	uc[de ds[qx ui[wj
韶關市	uc[ld gr[bt ui[wj
韶山市	uc[ld uj[uk ui[wj
邵武市	uc[de wu[hv ui[wj
紹興市	uc[sd xk[xb ui[wj
邵陽市	uc[de yh[eo ui[wj
邵陽縣	uc[de yh[eo xm[qs
射洪市	ue[uc hs[dg ui[wj
社旗縣	ue[ut qi[fr xm[qs
歙縣	ue[rd xm[qs
涉縣	ue[dv xm[qs
射陽縣	ue[uc yh[eo xm[qs
沈北新區	uf[dg bw[ub xb[lj qu[ki
神池縣	uf[uo ii[dy xm[qs
瀋河區	uf[dg he[dk qu[ki
神木市	uf[uo mu[ub ui[wj
神農架林區	uf[uo ns[gy jx[la lb[aa qu[ki
沈丘縣	uf[dg qq[jh xm[qs
莘縣	uf[cl xm[qs
瀋陽市	uf[dg yh[eo ui[wj
深澤縣	uf[dg ze[dy xm[qs
申扎縣	uf[ou va[fv xm[qs
深圳市	uf[dg vf[ti ui[wj
深州市	uf[dg vz[dp ui[wj
嵊泗縣	ug[uq si[ds xm[qs
嵊州市	ug[uq vz[dp ui[wj
市北區	ui[wj bw[ub qu[ki
施秉縣	ui[fr bk[ph xm[qs
石城縣	ui[ek ig[tw xm[qs
施甸縣	ui[fr dm[bt xm[qs
什邡市	ui[ru fh[fe ui[wj
石峰區	ui[ek fg[uw qu[ki
石鼓區	ui[ek gu[uu qu[ki
石柺區	ui[ek gk[fk qu[ki
溮河區	ui[du he[dk qu[ki
石河子市	ui[ek he[dk zi[lh ui[wj
石家莊市	ui[ek jx[gu vl[gt ui[wj
石景山區	ui[ek jk[ow uj[uk qu[ki
石林彝族自治縣	ui[ek lb[aa yi[vm zu[fr zi[pm vi[ds xm[qs
石龍區	ui[ek ls[yp qu[ki
石樓縣	ui[ek lz[am xm[qs
石門縣	ui[ek mf[du xm[qs
石棉縣	ui[ek mm[ab xm[qs
市南區	ui[wj nj[uk qu[ki
石屏縣	ui[ek pk[ub xm[qs
石阡縣	ui[ek qm[eq xm[qs
石渠縣	ui[ek qu[da xm[qs
石泉縣	ui[ek qr[bu xm[qs
石獅市	ui[ek ui[qu ui[wj
石首市	ui[ek uz[be ui[wj
石臺縣	ui[ek td[sk xm[qs
始興縣	ui[ns xk[xb xm[qs
十堰市	ui[hu yj[tk ui[wj
市中區	ui[wj vs[ku qu[ki
石柱土家族自治縣	ui[ek vu[ad tu[uh jx[gu zu[fr zi[pm vi[ds xm[qs
師宗縣	ui[uh zs[ge xm[qs
石嘴山市	ui[ek zv[kv uj[uk ui[wj
壽光市	uz[fc gl[xe ui[wj
壽寧縣	uz[fc nk[gd xm[qs
壽縣	uz[fc xm[qs
壽陽縣	uz[fc yh[eo xm[qs
舒城縣	uu[ry ig[tw xm[qs
疏附縣	uu[pw fu[er xm[qs
舒蘭市	uu[ry lj[bs ui[wj
疏勒縣	uu[pw le[gl xm[qs
蜀山區	uu[sb uj[uk qu[ki
沭陽縣	uu[da yh[eo xm[qs
雙柏縣	ul[yy bd[ab xm[qs
雙城區	ul[yy ig[tw qu[ki
雙峰縣	ul[yy fg[uw xm[qs
雙河市	ul[yy he[dk ui[wj
雙湖縣	ul[yy hu[dg xm[qs
雙遼市	ul[yy ln[lz ui[wj
雙流區	ul[yy lq[dw qu[ki
雙灤區	ul[yy lr[dy qu[ki
雙牌縣	ul[yy pd[pb xm[qs
雙橋區	ul[yy qn[ap qu[ki
雙清區	ul[yy qk[df qu[ki
雙塔區	ul[yy ta[tc qu[ki
雙臺子區	ul[yy td[sk zi[lh qu[ki
雙鴨山市	ul[yy ya[on uj[uk ui[wj
雙陽區	ul[yy yh[eo qu[ki
水城區	uv[uu ig[tw qu[ki
水富市	uv[uu fu[gh ui[wj
水磨溝區	uv[uu mo[ge gz[db qu[ki
順昌縣	uy[iy ih[oo xm[qs
順城區	uy[iy ig[tw qu[ki
順德區	uy[iy de[ru qu[ki
順河回族區	uy[iy he[dk hv[wk zu[fr qu[ki
順平縣	uy[iy pk[hb xm[qs
順慶區	uy[iy qk[gd qu[ki
順義區	uy[iy yi[di qu[ki
朔城區	uo[no ig[tw qu[ki
朔州市	uo[no vz[dp ui[wj
四川省	si[we ir[pu ug[xm
四方臺區	si[we fh[dw td[sk qu[ki
泗洪縣	si[ds hs[dg xm[qs
四會市	si[we hv[re ui[wj
思茅區	si[tx mc[cy qu[ki
思明區	si[tx mk[oo qu[ki
思南縣	si[tx nj[uk xm[qs
四平市	si[we pk[hb ui[wj
泗水縣	si[ds uv[uu xm[qs
泗縣	si[ds xm[qs
泗陽縣	si[ds yh[eo xm[qs
四子王旗	si[we zi[lh wh[su qi[fr
松北區	ss[ab bw[ub qu[ki
松江區	ss[ab jl[dg qu[ki
嵩明縣	ss[uw mk[oo xm[qs
松潘縣	ss[ab pj[dp xm[qs
松山區	ss[ab uj[uk qu[ki
松桃苗族自治縣	ss[ab tc[av mn[ct zu[fr zi[pm vi[ds xm[qs
松溪縣	ss[ab xi[da xm[qs
嵩縣	ss[uw xm[qs
松陽縣	ss[ab yh[eo xm[qs
松原市	ss[ab yr[ib ui[wj
松滋市	ss[ab zi[db ui[wj
肅北蒙古族自治縣	su[xu bw[ub mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
宿城區	su[gr ig[tw qu[ki
蘇家屯區	su[cl jx[gu ty[hk qu[ki
肅南裕固族自治縣	su[xu nj[uk yu[yb gu[wg zu[fr zi[pm vi[ds xm[qs
蘇尼特右旗	su[cl ni[ub te[nt yz[uk qi[fr
蘇尼特左旗	su[cl ni[ub te[nt zo[ug qi[fr
肅寧縣	su[xu nk[gd xm[qs
宿遷市	su[gr qm[qz ui[wj
宿松縣	su[gr ss[ab xm[qs
甦仙區	su[cl xm[ru qu[ki
宿豫區	su[gr yu[yd qu[ki
肅州區	su[xu vz[dp qu[ki
宿州市	su[gr vz[dp ui[wj
蘇州市	su[cl vz[dp ui[wj
綏濱縣	sv[sa bb[dg xm[qs
遂昌縣	sv[bz ih[oo xm[qs
遂川縣	sv[bz ir[pu xm[qs
綏德縣	sv[sa de[ru xm[qs
綏芬河市	sv[sa ff[cf he[dk ui[wj
綏化市	sv[sa hx[rq ui[wj
綏江縣	sv[sa jl[dg xm[qs
綏稜縣	sv[sa lk[at xm[qs
遂寧市	sv[bz nk[gd ui[wj
睢寧縣	sv[mv nk[gd xm[qs
綏寧縣	sv[sa nk[gd xm[qs
遂平縣	sv[bz pk[hb xm[qs
濉溪縣	sv[dm xi[da xm[qs
遂溪縣	sv[bz xi[da xm[qs
睢縣	sv[mv xm[qs
隨縣	sv[eu xm[qs
睢陽區	sv[mv yh[eo qu[ki
綏陽縣	sv[sa yh[eo xm[qs
綏中縣	sv[sa vs[ku xm[qs
隨州市	sv[eu vz[dp ui[wj
孫吳縣	sy[zx wu[kt xm[qs
索縣	so[uy xm[qs
塔城地區	ta[tc ig[tw di[ty qu[ki
塔城市	ta[tc ig[tw ui[wj
塔河縣	ta[tc he[dk xm[qs
塔什庫爾干塔吉克自治縣	ta[tc ui[ru ku[gi er[dx gj[hu ta[tc ji[uk ke[ge zi[pm vi[ds xm[qs
泰安市	td[su an[gn ui[wj
臺安縣	td[sk an[gn xm[qs
太白縣	td[dd bd[po xm[qs
太倉市	td[dd ch[re ui[wj
臺兒莊區	td[sk er[pv vl[gt qu[ki
太谷區	td[dd gu[bk qu[ki
太和區	td[dd he[hk qu[ki
太和縣	td[dd he[hk xm[qs
泰和縣	td[su he[hk xm[qs
太湖縣	td[dd hu[dg xm[qs
臺江區	td[sk jl[dg qu[ki
臺江縣	td[sk jl[dg xm[qs
太康縣	td[dd kh[gx xm[qs
泰來縣	td[su ld[hm xm[qs
泰寧縣	td[su nk[gd xm[qs
太平區	td[dd pk[hb qu[ki
太僕寺旗	td[dd pu[rb si[tc qi[fr
臺前縣	td[sk qm[bo xm[qs
泰山區	td[su uj[uk qu[ki
台山市	td[sk uj[uk ui[wj
泰順縣	td[su uy[iy xm[qs
臺灣省	td[sk wj[dy ug[xm
泰興市	td[su xk[xb ui[wj
太原市	td[dd yr[ib ui[wj
台州市	td[sk vz[dp ui[wj
泰州市	td[su vz[dp ui[wj
太子河區	td[dd zi[lh he[dk qu[ki
郯城縣	tj[he ig[tw xm[qs
唐河縣	th[gx he[dk xm[qs
唐山市	th[gx uj[uk ui[wj
湯旺縣	th[dv wh[ow xm[qs
唐縣	th[gx xm[qs
湯陰縣	th[dv yb[eo xm[qs
湯原縣	th[dv yr[ib xm[qs
洮北區	tc[dv bw[ub qu[ki
桃城區	tc[av ig[tw qu[ki
桃江縣	tc[av jl[dg xm[qs
洮南市	tc[dv nj[uk ui[wj
桃山區	tc[av uj[uk qu[ki
桃源縣	tc[av yr[di xm[qs
特克斯縣	te[nt ke[ge si[qj xm[qs
騰衝市	tg[ob is[dv ui[wj
藤縣	tg[co xm[qs
滕州市	tg[ob vz[dp ui[wj
天長市	tm[hd ih[ph ui[wj
天等縣	tm[hd dg[vt xm[qs
田東縣	tm[wu ds[qx xm[qs
天峨縣	tm[hd ee[up xm[qs
天河區	tm[hd he[dk qu[ki
田家庵區	tm[wu jx[gu an[gd qu[ki
天津市	tm[hd jb[dy ui[wj
天峻縣	tm[hd jy[us xm[qs
田林縣	tm[wu lb[aa xm[qs
天門市	tm[hd mf[du ui[wj
天寧區	tm[hd nk[gd qu[ki
天橋區	tm[hd qn[ap qu[ki
天全縣	tm[hd qr[rw xm[qs
天山區	tm[hd uj[uk qu[ki
天水市	tm[hd uv[uu ui[wj
天台縣	tm[hd td[sk xm[qs
天心區	tm[hd xb[dv qu[ki
天涯區	tm[hd ya[di qu[ki
田陽區	tm[wu yh[eo qu[ki
天元區	tm[hd yr[ee qu[ki
天鎮縣	tm[hd vf[ju xm[qs
天柱縣	tm[hd vu[ad xm[qs
天祝藏族自治縣	tm[hd vu[uk zh[cw zu[fr zi[pm vi[ds xm[qs
鐵東區	tp[jp ds[qx qu[ki
鐵鋒區	tp[jp fg[jw qu[ki
鐵力市	tp[jp li[vp ui[wj
鐵嶺市	tp[jp lk[ur ui[wj
鐵嶺縣	tp[jp lk[ur xm[qs
鐵門關市	tp[jp mf[du gr[bt ui[wj
鐵山港區	tp[jp uj[uk gh[dg qu[ki
鐵山區	tp[jp uj[uk qu[ki
鐵西區	tp[jp xi[hk qu[ki
亭湖區	tk[wd hu[dg qu[ki
同安區	ts[kh an[gn qu[ki
桐柏縣	ts[ak bd[ab xm[qs
桐城市	ts[ak ig[tw ui[wj
通城縣	ts[sz ig[tw xm[qs
通川區	ts[sz ir[pu qu[ki
銅川市	ts[jk ir[pu ui[wj
通道侗族自治縣	ts[sz dc[bz ds[rk zu[fr zi[pm vi[ds xm[qs
同德縣	ts[kh de[ru xm[qs
銅鼓縣	ts[jk gu[uu xm[qs
銅官區	ts[jk gr[gu qu[ki
潼關縣	ts[dl gr[bt xm[qs
通海縣	ts[sz hd[dr xm[qs
通河縣	ts[sz he[dk xm[qs
通化市	ts[sz hx[rq ui[wj
通化縣	ts[sz hx[rq xm[qs
同江市	ts[kh jl[dg ui[wj
通江縣	ts[sz jl[dg xm[qs
銅梁區	ts[jk ll[da qu[ki
通遼市	ts[sz ln[lz ui[wj
銅陵市	ts[jk lk[et ui[wj
桐廬縣	ts[ak lu[gh xm[qs
潼南區	ts[dl nj[uk qu[ki
同仁市	ts[kh rf[re ui[wj
銅仁市	ts[jk rf[re ui[wj
銅山區	ts[jk uj[uk qu[ki
通山縣	ts[sz uj[uk xm[qs
通渭縣	ts[sz ww[dt xm[qs
桐鄉市	ts[ak xl[sp ui[wj
同心縣	ts[kh xb[dv xm[qs
通許縣	ts[sz xu[yw xm[qs
通榆縣	ts[sz yu[ar xm[qs
通州區	ts[sz vz[dp qu[ki
桐梓縣	ts[ak zi[al xm[qs
頭屯河區	tz[dd ty[hk he[dk qu[ki
吐魯番市	tu[kt lu[yo fj[pt ui[wj
圖們市	tu[ww mf[rm ui[wj
土默特右旗	tu[uh mo[hq te[nt yz[uk qi[fr
土默特左旗	tu[uh mo[hq te[nt zo[ug qi[fr
圖木舒克市	tu[ww mu[ub uu[ry ke[ge ui[wj
突泉縣	tu[xq qr[bu xm[qs
團風縣	tr[wc fg[ji xm[qs
屯昌縣	ty[hk ih[oo xm[qs
屯留區	ty[hk lq[pt qu[ki
屯溪區	ty[hk xi[da qu[ki
托克托縣	to[fp ke[ge to[fp xm[qs
托克遜縣	to[fp ke[ge xy[zz xm[qs
托里縣	to[fp li[ot xm[qs
瓦房店市	wa[hv fh[hf dm[gb ui[wj
萬安縣	wj[hv an[gn xm[qs
萬柏林區	wj[hv bo[ab lb[aa qu[ki
宛城區	wj[gx ig[tw qu[ki
萬年縣	wj[hv nm[rn xm[qs
萬寧市	wj[hv nk[gd ui[wj
萬全區	wj[hv qr[rw qu[ki
萬榮縣	wj[hv rs[ca xm[qs
萬山區	wj[hv uj[uk qu[ki
萬秀區	wj[hv xq[hn qu[ki
萬源市	wj[hv yr[di ui[wj
萬載縣	wj[hv zd[ti xm[qs
灣沚區	wj[dy vi[dv qu[ki
萬州區	wj[hv vz[dp qu[ki
旺蒼縣	wh[ow ch[cr xm[qs
望城區	wh[ww ig[tw qu[ki
望都縣	wh[ww du[te xm[qs
望花區	wh[ww hx[cr qu[ki
望江縣	wh[ww jl[dg xm[qs
望奎縣	wh[ww kv[dt xm[qs
望謨縣	wh[ww mo[yc xm[qs
汪清縣	wh[dw qk[df xm[qs
王益區	wh[su yi[bm qu[ki
衛濱區	ww[eh bb[dg qu[ki
渭濱區	ww[dt bb[dg qu[ki
圍場滿族蒙古族自治縣	ww[ww ih[tv mj[dc zu[fr mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
渭城區	ww[dt ig[tw qu[ki
濰城區	ww[ds ig[tw qu[ki
衛東區	ww[eh ds[qx qu[ki
魏都區	ww[hg du[te qu[ki
濰坊市	ww[ds fh[tf ui[wj
威海市	ww[wh hd[dr ui[wj
衛輝市	ww[eh hv[xg ui[wj
渭南市	ww[dt nj[uk ui[wj
威寧彝族回族苗族自治縣	ww[wh nk[gd yi[vm zu[fr hv[wk zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
微山縣	ww[ru uj[uk xm[qs
巍山彝族回族自治縣	ww[uh uj[uk yi[vm zu[fr hv[wk zu[fr zi[pm vi[ds xm[qs
尉氏縣	ww[uc ui[pq xm[qs
